,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate,Percentage of Minority Students,DistrictName
0,97.0,115881.16,24424.21,1.0,27.8,YORKTOWN CSD
1,92.0,110606.5,27298.65,3.0,37.6,CARMEL CSD
2,89.0,53290.64,17149.15,5.0,25.9,CARTHAGE CSD
3,88.0,55387.63,20862.54,7.0,6.0,CASSADAGA VALLEY CSD
4,89.0,64765.75,18088.09,5.0,8.1,CATO-MERIDIAN CSD
5,91.0,58658.83,24088.35,4.0,32.9,CATSKILL CSD
6,93.0,52411.0,19362.54,4.0,6.9,CATTARAUGUS-LITTLE VALLEY CSD
7,94.0,69543.88,17708.25,2.0,6.0,CAZENOVIA CSD
8,93.0,99102.0,24593.36,1.0,26.8,CENTER MORICHES UFSD
9,88.0,101402.4,21656.92,1.0,96.1,CENTRAL ISLIP UFSD
10,87.0,67685.73,17310.54,8.0,6.1,CENTRAL SQUARE CSD
12,99.0,171975.0,29069.23,0.0,25.9,CHAPPAQUA CSD
13,97.0,56603.8,20495.72,3.0,1.3,CHATEAUGAY CSD
14,94.0,80405.75,25024.45,4.0,13.0,CHATHAM CSD
15,85.0,57115.57,23416.94,3.0,5.1,CHAUTAUQUA LAKE CSD
16,94.0,63384.5,19209.93,6.0,5.7,CHAZY UFSD
17,87.0,47551.0,16544.11,7.0,60.4,CHEEKTOWAGA CSD
18,87.0,58342.0,15434.4,5.0,27.8,CHEEKTOWAGA-MARYVALE UFSD
19,86.0,47314.75,19755.19,5.0,23.5,CHEEKTOWAGA-SLOAN UFSD
20,93.0,50343.4,18273.44,0.0,7.8,CHENANGO FORKS CSD
21,91.0,47896.4,18101.82,5.0,10.7,CHENANGO VALLEY CSD
22,79.0,57554.75,24150.04,3.0,2.1,CHERRY VALLEY-SPRINGFIELD CSD
23,90.0,101327.0,24039.21,1.0,53.5,CHESTER UFSD
24,90.0,78756.5,17253.94,3.0,8.4,CHITTENANGO CSD
25,91.0,74812.2,15793.94,2.0,23.1,CHURCHVILLE-CHILI CSD
26,90.0,54469.18,21748.43,5.0,2.3,CINCINNATUS CSD
27,95.0,89974.14,15613.47,2.0,12.1,CLARENCE CSD
28,95.0,124982.34,22878.82,1.0,42.0,CLARKSTOWN CSD
29,85.0,53987.0,18076.74,6.0,52.4,CLEVELAND HILL UFSD
30,77.0,46749.0,28678.72,0.0,8.3,CLIFTON-FINE CSD
31,96.0,71630.0,17575.94,1.0,9.2,CLINTON CSD
32,78.0,53507.6,21555.55,17.0,15.1,CLYDE-SAVANNAH CSD
33,93.0,53945.6,21086.05,0.0,9.4,CLYMER CSD
34,93.0,57302.22,20054.26,3.0,10.0,COBLESKILL-RICHMONDVILLE CSD
35,84.0,60444.0,17770.18,11.0,28.9,COHOES CITY SD
36,99.0,140247.0,33287.48,0.0,13.9,COLD SPRING HARBOR CSD
37,94.0,56456.83,22481.64,0.0,0.6,COLTON-PIERREPONT CSD
38,97.0,122854.0,26170.47,0.0,23.3,COMMACK UFSD
39,95.0,108287.0,28395.35,2.0,26.7,CONNETQUOT CSD
40,99.0,63359.0,19740.77,1.0,8.8,COOPERSTOWN CSD
41,100.0,61598.0,18762.25,0.0,7.6,COPENHAGEN CSD
42,89.0,99989.25,18858.63,7.0,87.7,COPIAGUE UFSD
43,86.0,77271.8,15265.53,6.0,4.8,CORINTH CSD
44,88.0,64176.91,19702.53,6.0,13.5,CORNING CITY SD
45,96.0,112038.0,18883.36,3.0,35.5,CORNWALL CSD
46,80.0,61464.0,18587.04,7.0,15.1,CORTLAND CITY SD
47,82.0,68206.25,20955.92,7.0,15.5,COXSACKIE-ATHENS CSD
48,96.0,111839.34,23468.52,0.0,28.7,CROTON-HARMON UFSD
49,95.0,55082.75,20638.87,5.0,0.7,CROWN POINT CSD
50,92.0,53610.27,19895.03,0.0,5.0,CUBA-RUSHFORD CSD
51,98.0,54371.88,20242.29,0.0,2.5,DALTON-NUNDA CSD (KESHEQUA)
52,85.0,63313.45,17846.3,10.0,6.7,DANSVILLE CSD
53,92.0,105121.5,24053.21,1.0,63.6,DEER PARK UFSD
55,85.0,67225.34,16749.58,5.0,14.9,DEPEW UFSD
56,97.0,51873.22,26448.82,3.0,3.9,DEPOSIT CSD
57,88.0,55705.4,24461.18,6.0,7.4,DERUYTER CSD
58,99.0,154429.5,27547.73,0.0,35.2,DOBBS FERRY UFSD
59,87.0,57175.67,17450.78,9.0,1.5,DOLGEVILLE CSD
60,84.0,79784.34,20364.65,6.0,38.3,DOVER UFSD
61,85.0,56483.17,36396.35,8.0,7.7,DOWNSVILLE CSD
62,68.0,62437.3,22428.41,14.0,15.8,DRYDEN CSD
63,98.0,78887.5,18262.05,2.0,6.1,DUANESBURG CSD
64,68.0,56795.0,20317.42,23.0,8.5,DUNDEE CSD
65,71.0,49307.5,21073.97,19.0,64.0,DUNKIRK CITY SD
66,97.0,83121.0,14972.77,1.0,5.6,EAST AURORA UFSD
67,94.0,75579.86,19459.4,2.0,8.5,EAST BLOOMFIELD CSD
68,96.0,82376.89,17840.81,2.0,21.1,EAST GREENBUSH CSD
69,83.0,118018.0,32627.14,9.0,62.6,EAST HAMPTON UFSD
70,90.0,51098.0,21188.16,6.0,55.6,EAST IRONDEQUOIT CSD
71,95.0,114191.16,27025.08,2.0,27.2,EAST ISLIP UFSD
72,95.0,119341.0,24954.87,0.0,51.7,EAST MEADOW UFSD
73,95.0,109689.5,20972.97,0.0,18.9,EAST MORICHES UFSD
74,95.0,84058.66,30127.26,0.0,34.6,EAST QUOGUE UFSD
75,65.0,96434.0,20759.17,20.0,96.6,EAST RAMAPO CSD (SPRING VALLEY)
76,80.0,90799.5,21751.23,8.0,27.3,EAST ROCHESTER UFSD
77,96.0,110850.0,27495.82,1.0,40.2,EAST ROCKAWAY UFSD
79,99.0,149491.6,29899.6,0.0,42.4,EAST WILLISTON UFSD
80,99.0,151468.33,23455.55,0.0,32.9,EASTCHESTER UFSD
81,96.0,94368.22,23188.7,2.0,13.6,EASTPORT-SOUTH MANOR CSD
82,88.0,66202.57,17729.04,3.0,6.6,EDEN CSD
83,98.0,152328.0,26154.46,0.0,54.8,EDGEMONT UFSD
84,98.0,58945.5,37016.86,0.0,3.8,EDINBURG COMN SD
85,91.0,63899.86,21675.32,3.0,5.4,EDMESTON CSD
86,83.0,52895.5,20184.28,5.0,2.7,EDWARDS-KNOX CSD
87,80.0,61557.75,21297.72,16.0,20.6,ELBA CSD
88,88.0,61916.88,27604.29,2.0,14.4,ELDRED CSD
89,91.0,86355.88,24227.11,4.0,16.5,RED HOOK CSD
