,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
0,ADDISON CSD,90.0,3.0,23833.02,976,503,473,3.2,59328.0,
1,ADIRONDACK CSD,92.0,5.0,14013.61,1145,575,570,1.7,63986.357142857145,No
2,AFTON CSD,83.0,10.0,24128.02,507,262,245,8.9,54818.28571428572,
3,AKRON CSD,95.0,3.0,17552.56,1334,667,667,17.5,76903.75,
4,ALBANY CITY SD,71.0,12.0,22382.65,8610,4444,4166,80.2,61049.181818181816,No
5,ALBION CSD,85.0,11.0,15094.95,1781,887,894,25.5,60784.28571428572,
6,ALDEN CSD,96.0,1.0,16574.76,1581,783,798,4.2,80543.77777777778,No
7,ALEXANDER CSD,95.0,2.0,19435.51,787,378,409,6.5,67828.57142857143,
8,ALEXANDRIA CSD,88.0,5.0,21219.66,472,232,240,5.3,55344.5,
9,ALFRED-ALMOND CSD,100.0,0.0,18461.16,601,329,272,9.7,51929.28571428572,
10,ALLEGANY-LIMESTONE CSD,87.0,4.0,16367.35,1103,574,529,8.1,49249.8,
11,ALTMAR-PARISH-WILLIAMSTOWN CSD,82.0,9.0,23307.26,1067,537,530,6.4,62701.6,
12,AMAGANSETT UFSD,,,97583.8,64,30,34,39.1,114088.66666666669,
13,AMHERST CSD,93.0,1.0,15755.19,2925,1516,1409,33.1,69733.66666666667,No
14,AMITYVILLE UFSD,85.0,7.0,23455.51,2997,1594,1403,95.4,109412.0,No
15,AMSTERDAM CITY SD,84.0,6.0,17207.22,3586,1838,1748,59.3,65237.57142857143,No
16,ANDES CSD,100.0,0.0,38857.67,65,35,30,10.8,56633.857142857145,
17,ANDOVER CSD,89.0,4.0,24277.59,278,127,151,2.9,49658.6,
18,ARDSLEY UFSD,97.0,0.0,25178.37,2325,1257,1068,42.5,158208.7142857143,
19,ARGYLE CSD,86.0,11.0,23262.18,463,233,230,5.4,62666.25,
20,ARKPORT CSD,100.0,0.0,19505.93,459,241,218,6.1,57429.4,
21,ARLINGTON CSD,91.0,3.0,21035.77,7963,3966,3997,34.4,90955.71428571428,No
22,ATTICA CSD,91.0,2.0,20326.08,1160,574,586,4.7,66734.22222222222,
23,AUBURN CITY SD,76.0,12.0,15909.72,4106,2124,1982,23.0,51517.0,Yes
24,AUSABLE VALLEY CSD,88.0,11.0,23515.55,1112,561,551,3.4,72556.14285714286,
25,AVERILL PARK CSD,94.0,3.0,18170.81,2663,1336,1327,8.7,84931.25,
26,AVOCA CSD,95.0,3.0,23182.35,421,216,205,6.9,49992.16666666666,
27,AVON CSD,93.0,2.0,15986.52,1007,518,489,11.9,75221.8,
28,BABYLON UFSD,96.0,0.0,29037.85,1555,787,768,24.2,112620.0,
29,BAINBRIDGE-GUILFORD CSD,96.0,0.0,18604.94,773,394,379,9.6,51899.857142857145,
30,BALDWIN UFSD,95.0,0.0,24058.03,4477,2360,2117,87.9,98237.4,Yes
31,BALDWINSVILLE CSD,93.0,4.0,16551.37,5390,2816,2574,12.4,70991.0,No
32,BALLSTON SPA CSD,89.0,6.0,17822.98,4064,2105,1959,8.3,86613.83333333333,
33,BARKER CSD,92.0,2.0,20097.18,699,365,334,12.4,62311.71428571428,
34,BATAVIA CITY SD,94.0,2.0,19357.91,2190,1156,1034,27.9,60567.0,No
35,BATH CSD,90.0,6.0,14747.3,1419,722,697,4.0,52368.57142857143,
36,BAY SHORE UFSD,87.0,4.0,23456.92,5848,2990,2858,72.2,116545.0,
37,BAYPORT-BLUE POINT UFSD,98.0,0.0,30894.87,2080,1047,1033,15.0,110745.75,
38,BEACON CITY SD,88.0,6.0,20683.23,2723,1358,1365,55.3,84118.33333333333,Yes
39,BEAVER RIVER CSD,91.0,1.0,15124.46,871,456,415,2.6,52416.5,
40,BEDFORD CSD,86.0,4.0,29882.43,3902,1993,1909,48.4,151156.8,No
41,BEEKMANTOWN CSD,94.0,3.0,15225.58,1915,997,918,5.5,60106.66666666666,No
42,BELFAST CSD,81.0,0.0,22753.52,322,167,155,4.0,51402.28571428572,
