"Table 219.50. Number and percentage of 9th- to 12th-graders who dropped out of public schools (event dropout rate), by race/ethnicity, 
              grade, and state or jurisdiction: 2009-10",,,,,,,,,,,,,,,
State or jurisdiction,"Percent of 9th- to 12th-graders who dropped out (event dropout rate), by race/ethnicity",,,,,,,"Number and percent of 9th- to 12th-graders who dropped out 
(event dropout rate), by grade",,,,,,,
,,,,,,,,Grade 9,,Grade 10,,Grade 11,,Grade 12,
,Total,White,Black,His-panic,"Asian/
Pacific
Islander","American
Indian/
Alaska
Native",Two or more races,Number of dropouts ,Event dropout rate,Number of dropouts ,Event dropout rate,Number of dropouts ,Event dropout rate,Number of dropouts ,Event dropout rate
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
   United States .............,3.4,2.3,5.5,5.0,1.9,6.7,‡,"104,756 ", 2.6 ,"113,370 ", 3.0 ,"117,536 ", 3.3 ,"175,806 ", 5.1 
Alabama ....................,1.8,1.6,2.0,0.9,1.4,1.3,---, 864 , 1.4 ," 1,128 ", 2.0 ," 1,048 ", 2.1 , 862 , 1.8 
Alaska ......................,6.9,5.1,6.4,6.1,4.8,11.6,9.6, 404 , 4.0 , 551 , 5.5 ," 1,014 ", 9.3 , 851 , 8.7 
Arizona .....................,7.8,6.8,8.8,8.1,4.9,14.6,---," 4,207 ", 5.1 ," 4,594 ", 5.7 ," 5,269 ", 7.0 ," 10,795 ", 13.6 
Arkansas ..................,3.6,3.1,5.0,4.1,2.0,4.9,3.1, 720 , 1.9 ," 1,130 ", 3.2 ," 1,427 ", 4.4 ," 1,613 ", 5.3 
California .................,4.6,2.8,8.4,5.8,2.0,6.5,5.0," 13,849 ", 2.6 ," 15,518 ", 3.1 ," 20,625 ", 4.2 ," 42,587 ", 8.9 
,,,,,,,,,,,,,,,
Colorado ....................,5.3,3.2,8.6,9.9,2.4,10.1,---," 1,957 ", 3.1 ," 2,216 ", 3.7 ," 3,045 ", 5.3 ," 5,673 ", 9.7 
Connecticut ...............,3.0,1.4,6.8,6.9,1.1,3.0,---," 1,316 ", 2.8 ," 1,127 ", 2.6 ," 1,452 ", 3.4 ," 1,299 ", 3.2 
Delaware ..................,3.9,3.1,4.9,4.7,3.2,10.3,---, 546 , 4.7 , 386 , 3.7 , 299 , 3.4 , 288 , 3.5 
District of Columbia\1\ ........,7.0,4.9,6.9,8.3,5.4,#,---, 501 , 8.1 , 262 , 5.9 , 153 , 4.2 , 133 , 4.0 
Florida ..................,2.3,1.6,3.5,2.8,0.8,2.7,---," 4,189 ", 1.9 ," 4,348 ", 2.2 ," 4,678 ", 2.4 ," 4,816 ", 2.8 
,,,,,,,,,,,,,,,
Georgia ...................,3.8,3.1,4.6,4.3,1.5,4.2,3.4," 5,800 ", 4.0 ," 5,095 ", 4.2 ," 4,074 ", 3.8 ," 2,800 ", 2.9 
Hawaii .....................,5.2,6.4,7.9,5.9,4.7,9.0,---, 562 , 3.7 , 816 , 5.7 , 726 , 5.8 , 632 , 6.0 
Idaho ........................,1.4,1.2,1.9,2.2,1.2,2.5,---, 211 , 1.0 , 235 , 1.1 , 301 , 1.5 , 386 , 2.0 
Illinois .................,2.9,1.8,5.7,3.8,0.9,3.0,---," 3,482 ", 2.0 ," 5,287 ", 3.1 ," 3,970 ", 2.7 ," 5,801 ", 4.0 
Indiana .....................,1.6,1.3,3.1,2.4,1.1,2.2,---, 373 , 0.4 , 945 , 1.2 ," 1,349 ", 1.7 ," 2,346 ", 3.2 
,,,,,,,,,,,,,,,
Iowa ........................,3.4,2.8,9.1,6.9,2.1,8.9,4.9, 363 , 1.0 , 713 , 1.9 ," 1,276 ", 3.5 ," 2,747 ", 7.1 
Kansas .....................,2.1,1.8,3.7,2.9,0.7,4.1,2.0, 442 , 1.2 , 661 , 1.9 , 765 , 2.3 ," 1,105 ", 3.3 
Kentucky .................,3.2,2.9,5.5,5.6,2.0,1.9,---," 1,076 ", 2.0 ," 1,769 ", 3.5 ," 1,762 ", 3.8 ," 1,615 ", 3.7 
Louisiana ...................,4.8,3.2,6.8,3.9,2.0,4.8,---," 3,229 ", 5.7 ," 1,920 ", 4.2 ," 1,663 ", 4.1 ," 1,892 ", 4.9 
Maine .....................,4.2,4.2,4.9,5.0,3.8,8.6,---, 252 , 1.7 , 349 , 2.3 , 703 , 4.8 ," 1,260 ", 8.3 
,,,,,,,,,,,,,,,
Maryland ....................,2.7,2.0,3.4,4.2,0.9,3.2,---," 1,998 ", 2.7 ," 2,029 ", 3.0 ," 1,686 ", 2.7 ," 1,369 ", 2.2 
Massachusetts ..............,2.8,1.7,5.0,7.3,1.7,3.3,3.1," 2,356 ", 3.0 ," 2,045 ", 2.8 ," 1,837 ", 2.6 ," 1,847 ", 2.7 
Michigan .....................,4.3,2.7,9.2,6.2,3.1,5.4,---," 4,305 ", 3.1 ," 6,661 ", 4.9 ," 5,318 ", 4.2 ," 6,699 ", 5.3 
Minnesota ...................,1.6,1.0,3.9,4.2,1.6,5.7,---, 337 , 0.5 , 453 , 0.7 , 796 , 1.2 ," 2,752 ", 3.7 
Mississippi .................,7.4,5.6,9.3,5.9,2.8,4.6,#," 2,399 ", 6.0 ," 2,651 ", 7.3 ," 2,339 ", 7.3 ," 2,023 ", 7.0 
,,,,,,,,,,,,,,,
Missouri .................,3.5,2.4,8.4,4.1,1.5,3.0,---," 2,139 ", 2.9 ," 2,009 ", 2.9 ," 2,449 ", 3.6 ," 3,245 ", 4.8 
Montana .....................,4.3,3.5,7.0,6.2,2.0,10.3,---, 340 , 2.9 , 435 , 3.9 , 527 , 4.9 , 599 , 5.7 
Nebraska ....................,2.2,1.6,4.1,4.0,1.8,7.0,---, 186 , 0.8 , 372 , 1.7 , 538 , 2.5 , 825 , 3.7 
Nevada ....................,4.5,3.4,6.5,5.4,3.1,4.7,---, 790 , 2.3 ," 1,389 ", 4.0 ," 1,294 ", 4.4 ," 2,071 ", 8.0 
New Hampshire ..................,1.2,1.1,1.6,2.9,1.1,1.5,1.0, 3 , # , 6 , # , 90 , 0.6 , 667 , 4.3 
,,,,,,,,,,,,,,,
New Jersey .................,1.6,0.9,3.5,2.8,0.4,1.5,3.4," 1,696 ", 1.6 ," 1,667 ", 1.6 ," 1,522 ", 1.5 ," 1,594 ", 1.6 
New Mexico .................,6.9,5.3,9.0,7.2,4.6,8.8,4.7," 2,229 ", 7.5 ," 2,075 ", 7.8 ," 1,484 ", 6.6 ," 1,021 ", 5.1 
New York ....................,3.6,1.7,6.5,5.9,2.4,5.6,---," 7,354 ", 3.1 ," 8,222 ", 3.5 ," 6,674 ", 3.4 ," 8,931 ", 4.7 
North Carolina ...........,4.7,4.0,5.4,6.1,2.0,6.1,---," 6,553 ", 5.1 ," 5,535 ", 4.9 ," 4,769 ", 4.8 ," 3,338 ", 3.8 
North Dakota ................,2.2,1.7,2.6,3.5,0.9,7.5,---, 40 , 0.5 , 174 , 2.3 , 207 , 2.7 , 259 , 3.4 
,,,,,,,,,,,,,,,
Ohio .......................,4.2,2.8,9.4,7.4,1.4,7.8,---," 6,968 ", 4.4 ," 3,853 ", 2.8 ," 4,574 ", 3.7 ," 7,011 ", 5.9 
Oklahoma ....................,2.4,2.1,3.3,3.5,1.1,2.5,---, 949 , 1.9 ," 1,062 ", 2.3 ," 1,188 ", 2.8 ," 1,086 ", 2.7 
Oregon ......................,3.4,2.9,6.2,4.7,1.4,6.7,---, 465 , 1.0 , 771 , 1.7 ," 1,451 ", 3.3 ," 3,299 ", 7.2 
Pennsylvania ...............,2.1,1.5,3.7,5.1,1.3,2.2,---," 1,643 ", 1.1 ," 3,029 ", 2.0 ," 3,268 ", 2.3 ," 4,302 ", 3.1 
Rhode Island ..............,4.6,3.8,6.6,6.8,4.5,8.5,---, 573 , 4.4 , 613 , 5.0 , 509 , 4.7 , 471 , 4.4 
,,,,,,,,,,,,,,,
South Carolina ..........................,3.0,2.7,3.3,3.6,1.3,5.6,---," 1,691 ", 2.7 ," 1,811 ", 3.3 ," 1,547 ", 3.2 ," 1,220 ", 2.7 
South Dakota .............,2.6,1.6,3.4,5.2,2.7,10.5,---, 184 , 1.8 , 267 , 2.7 , 258 , 2.8 , 291 , 3.3 
Tennessee ..................,2.7,1.8,4.9,3.3,1.2,2.7,---," 1,370 ", 1.8 ," 1,579 ", 2.1 ," 1,790 ", 2.6 ," 2,843 ", 4.3 
Texas ....................,2.7,1.2,4.2,3.6,0.5,3.6,---," 6,945 ", 1.8 ," 8,253 ", 2.5 ," 6,824 ", 2.2 ," 14,048 ", 4.8 
Utah .......................,2.6,2.1,3.8,5.5,2.8,5.7,---, 207 , 0.5 , 555 , 1.4 , 927 , 2.3 ," 2,444 ", 6.1 
,,,,,,,,,,,,,,,
Vermont ....................,2.4,2.4,1.5,2.6,2.0,#,4.1, 76 , 1.0 , 180 , 2.4 , 215 , 3.0 , 250 , 3.4 
Virginia ....................,2.1,1.4,3.0,4.6,1.2,1.6,---," 1,741 ", 1.7 ," 1,857 ", 1.9 ," 1,934 ", 2.1 ," 2,467 ", 2.8 
Washington ..................,4.2,3.6,6.1,5.8,3.0,8.2,---," 2,881 ", 3.4 ," 2,792 ", 3.4 ," 3,472 ", 4.4 ," 4,815 ", 5.8 
West Virginia ..................,4.0,4.0,4.6,4.6,0.5,3.6,1.9, 809 , 3.4 , 848 , 4.1 , 839 , 4.4 , 798 , 4.3 
Wisconsin ................,2.2,1.2,7.5,4.7,1.6,5.2,---, 971 , 1.4 , 611 , 0.9 ," 1,222 ", 1.7 ," 3,260 ", 4.6 
Wyoming ...................,6.0,5.0,13.1,#,1.7,20.8,94.9, 215 , 3.2 , 516 , 7.3 , 389 , 6.1 , 460 , 7.5 
,,,,,,,,,,,,,,,
Bureau of Indian,,,,,,,,,,,,,,,
   Education ....................,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,
"DoD, overseas ...............",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
"DoD, domestic ....................",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,
Other jurisdictions,,,,,,,,,,,,,,,
  American Samoa ..............,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
  Guam .......................,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
  Northern Marianas ........,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
  Puerto Rico ...............,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
  U.S. Virgin Islands ............,5.5,#,5.3,7.4,#,#,—,122,7.2,68,5.5,53,4.7,38,3.7
---Not available.,,,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,,
‡Reporting standards not met (too few cases for a reliable estimate).,,,,,,,,,,,,,,,
\1\Data were imputed based on prior year rates.,,,,,,,,,,,,,,,
NOTE: Race categories exclude persons of Hispanic ethnicity. Event dropout rates measure the percentage of public school students in grades 9 through 12 who dropped out of school between one October and the next. Enrollment and dropout data for ungraded students were prorated into grades 9 through 12 based on the counts for graded students. DoD stands for Department of Defense.,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Dropout and Completion Data File,"" 2009–10. (This table was prepared November 2012.)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
