,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate
0,90,59328.0,23833.02,3
1,92,63986.4,14013.61,5
2,83,54818.3,24128.02,10
3,95,76903.8,17552.56,3
4,71,61049.2,22382.65,12
5,85,60784.3,15094.95,11
6,96,80543.8,16574.76,1
7,95,67828.6,19435.51,2
8,88,55344.5,21219.66,5
9,100,51929.3,18461.16,0
10,87,49249.8,16367.35,4
11,82,62701.6,23307.26,9
13,93,69733.7,15755.19,1
14,85,109412.0,23455.51,7
15,84,65237.6,17207.22,6
16,100,56633.9,38857.67,0
17,89,49658.6,24277.59,4
18,97,158208.7,25178.37,0
19,86,62666.2,23262.18,11
20,100,57429.4,19505.93,0
21,91,90955.7,21035.77,3
22,91,66734.2,20326.08,2
23,76,51517.0,15909.72,12
24,88,72556.1,23515.55,11
25,94,84931.2,18170.81,3
26,95,49992.2,23182.35,3
27,93,75221.8,15986.52,2
28,96,112620.0,29037.85,0
29,96,51899.9,18604.94,0
30,95,98237.4,24058.03,0
31,93,70991.0,16551.37,4
32,89,86613.8,17822.98,6
33,92,62311.7,20097.18,2
34,94,60567.0,19357.91,2
35,90,52368.6,14747.3,6
36,87,116545.0,23456.92,4
37,98,110745.8,30894.87,0
38,88,84118.3,20683.23,6
39,91,52416.5,15124.46,1
40,86,151156.8,29882.43,4
41,94,60106.7,15225.58,3
42,81,51402.3,22753.52,0
46,98,54523.0,17784.12,2
48,82,79717.4,24974.93,13
49,92,77819.2,24220.44,1
50,94,89023.7,17185.56,3
51,95,130513.4,26750.9,1
52,73,48095.0,20117.55,16
53,99,125493.0,27396.38,0
54,94,52773.8,21660.27,5
55,86,82051.0,38860.88,0
57,97,57434.0,25011.05,3
58,86,52303.6,18091.67,8
59,76,98721.0,19390.0,12
60,88,103172.7,26271.8,6
61,97,166958.5,30106.31,1
62,86,115114.0,60852.77,7
63,95,79012.8,18309.26,1
64,90,59113.8,16438.42,6
65,91,68815.6,19153.63,2
66,88,54416.2,22092.47,7
67,97,108142.0,25738.45,0
68,82,57008.2,24173.83,14
69,92,118550.6,22056.41,4
70,88,80701.6,17579.17,4
71,83,52123.4,20707.52,5
72,76,43318.8,18959.77,12
73,96,89112.3,17703.0,2
74,99,147694.3,34560.05,0
75,98,66222.8,21604.84,1
76,92,63166.3,21073.84,5
77,97,66146.2,18494.78,1
78,93,75838.3,20247.7,6
79,86,61254.1,19020.69,6
80,95,56361.8,20618.32,3
81,94,59828.0,21495.74,4
82,92,72225.6,17678.85,4
83,71,56816.0,24196.83,18
84,84,72601.0,17657.1,7
85,93,60132.5,19391.18,3
86,93,50768.0,22874.26,4
87,82,54204.0,20152.15,1
88,98,104753.3,32591.09,0
89,92,110606.5,27298.65,3
90,89,53290.6,17149.15,5
91,88,55387.6,20862.54,7
92,89,64765.8,18088.09,5
93,91,58658.8,24088.35,4
94,93,52411.0,19362.54,4
95,94,69543.9,17708.25,2
96,93,99102.0,24593.36,1
97,88,101402.4,21656.92,1
98,87,67685.7,17310.54,8
100,99,171975.0,29069.23,0
101,0,53881.8,19819.35,4
102,97,56603.8,20495.72,3
103,94,80405.8,25024.45,4
104,85,57115.6,23416.94,3
105,94,63384.5,19209.93,6
106,87,47551.0,16544.11,7
107,87,58342.0,15434.4,5
108,86,47314.8,19755.19,5
109,93,50343.4,18273.44,0
110,91,47896.4,18101.82,5
111,79,57554.8,24150.04,3
112,90,101327.0,24039.21,1
113,90,78756.5,17253.94,3
114,91,74812.2,15793.94,2
115,90,54469.2,21748.43,5
116,95,89974.1,15613.47,2
117,95,124982.3,22878.82,1
118,85,53987.0,18076.74,6
119,77,46749.0,28678.72,0
120,96,71630.0,17575.94,1
121,78,53507.6,21555.55,17
122,93,53945.6,21086.05,0
123,93,57302.2,20054.26,3
124,84,60444.0,17770.18,11
125,99,140247.0,33287.48,0
126,94,56456.8,22481.64,0
127,97,122854.0,26170.47,0
128,95,108287.0,28395.35,2
129,99,63359.0,19740.77,1
130,100,61598.0,18762.25,0
131,89,99989.2,18858.63,7
132,86,77271.8,15265.53,6
133,88,64176.9,19702.53,6
134,96,112038.0,18883.36,3
135,80,61464.0,18587.04,7
136,82,68206.2,20955.92,7
137,96,111839.3,23468.52,0
138,95,55082.8,20638.87,5
139,92,53610.3,19895.03,0
140,98,54371.9,20242.29,0
141,85,63313.4,17846.3,10
142,92,105121.5,24053.21,1
144,85,67225.3,16749.58,5
145,97,51873.2,26448.82,3
146,88,55705.4,24461.18,6
147,99,154429.5,27547.73,0
148,87,57175.7,17450.78,9
149,84,79784.3,20364.65,6
150,85,56483.2,36396.35,8
151,68,62437.3,22428.41,14
152,98,78887.5,18262.05,2
153,68,56795.0,20317.42,23
154,71,49307.5,21073.97,19
155,97,83121.0,14972.77,1
156,94,75579.9,19459.4,2
157,96,82376.9,17840.81,2
158,83,118018.0,32627.14,9
159,90,51098.0,21188.16,6
160,95,114191.2,27025.08,2
161,95,119341.0,24954.87,0
164,65,96434.0,20759.17,20
165,80,90799.5,21751.23,8
166,96,110850.0,27495.82,1
168,99,149491.6,29899.6,0
169,99,151468.3,23455.55,0
170,96,94368.2,23188.7,2
171,88,66202.6,17729.04,3
172,98,152328.0,26154.46,0
174,91,63899.9,21675.32,3
175,83,52895.5,20184.28,5
176,80,61557.8,21297.72,16
177,88,61916.9,27604.29,2
178,81,67510.3,26476.75,11
179,92,55898.0,17000.21,3
180,73,55970.0,18365.57,16
181,88,55534.8,17766.08,6
183,89,127944.5,28619.63,1
184,98,131034.0,25149.52,1
185,90,57504.4,21444.49,6
186,92,76135.7,23378.61,0
187,94,89395.4,18288.31,2
188,90,50546.3,15754.62,5
189,79,55982.8,8070.27,8
190,95,114446.2,26389.39,3
191,96,85551.3,17546.6,0
192,96,52211.4,16259.19,2
194,90,46250.0,53804.95,0
196,97,102833.2,24475.23,1
197,92,61968.5,17693.4,6
198,90,54393.7,19092.34,4
199,81,76262.0,23523.79,8
200,74,63169.0,22672.08,21
201,86,50001.0,20887.78,2
202,90,56040.0,17334.49,1
203,100,50803.9,24410.51,0
205,83,53930.1,25123.2,6
206,96,51986.5,17255.21,2
207,86,118306.2,21484.73,2
208,94,49021.5,17462.27,2
209,78,47778.0,29150.45,9
210,91,74888.2,14894.51,3
211,84,60755.8,19719.91,10
212,87,76572.4,18867.04,6
213,90,81453.0,18478.74,5
214,98,135299.7,23500.03,0
217,93,62807.6,13567.3,4
218,90,53666.6,23997.0,8
219,93,59282.2,18482.09,3
220,88,58524.2,20180.79,9
222,93,70628.0,5403.88,7
223,92,54588.6,23117.52,3
224,100,56186.1,26541.08,0
225,87,114053.5,22819.95,4
226,84,66618.0,17131.9,8
228,68,53646.4,18618.2,17
230,96,95000.0,22102.68,0
231,84,52115.0,18367.44,9
232,82,53409.3,24073.62,14
233,95,90386.0,17396.91,2
234,79,56732.8,18308.97,11
235,93,140796.2,28782.39,2
236,93,56750.0,16901.72,0
237,86,49862.0,23487.08,11
238,93,124601.7,34414.7,0
242,89,51063.7,20546.04,6
243,75,79762.3,24403.49,20
244,87,75317.5,23538.21,3
245,91,77175.9,18651.65,1
247,90,65364.8,19387.04,3
248,94,75045.1,17693.96,2
249,89,62414.7,25299.07,7
250,93,104061.0,25957.28,3
251,95,117510.1,27791.97,1
252,92,79445.8,17076.46,3
253,90,56966.8,20603.59,5
254,74,58918.5,26123.36,16
255,76,51205.8,27744.76,11
256,91,92699.8,21642.94,6
257,97,54114.0,29004.88,3
258,82,54135.2,19515.27,10
259,95,135911.0,24499.74,1
260,84,56108.6,21205.12,3
261,98,137353.5,28893.27,1
262,91,50445.0,25442.94,9
263,83,57991.9,21509.8,7
264,96,137899.0,27795.13,1
265,95,111789.0,28953.45,0
268,78,107137.0,21489.7,10
