,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate,Percentage of Minority Students,DistrictName
0,90,59328.0,23833.02,3,3.2,ADDISON CSD
1,92,63986.4,14013.61,5,1.7,ADIRONDACK CSD
2,83,54818.3,24128.02,10,8.9,AFTON CSD
3,95,76903.8,17552.56,3,17.5,AKRON CSD
4,71,61049.2,22382.65,12,80.2,ALBANY CITY SCHOOL DISTRICT
5,85,60784.3,15094.95,11,25.5,ALBION CSD
6,96,80543.8,16574.76,1,4.2,ALDEN CSD
7,95,67828.6,19435.51,2,6.5,ALEXANDER CSD
8,88,55344.5,21219.66,5,5.3,ALEXANDRIA CSD
9,100,51929.3,18461.16,0,9.7,ALFRED-ALMOND CSD
10,87,49249.8,16367.35,4,8.1,ALLEGANY-LIMESTONE CSD
11,82,62701.6,23307.26,9,6.4,ALTMAR-PARISH-WILLIAMSTOWN CSD
13,93,69733.7,15755.19,1,33.1,AMHERST CSD
14,85,109412.0,23455.51,7,95.4,AMITYVILLE UFSD
15,84,65237.6,17207.22,6,59.3,AMSTERDAM CITY SCHOOL DISTRICT
16,100,56633.9,38857.67,0,10.8,ANDES CSD
17,89,49658.6,24277.59,4,2.9,ANDOVER CSD
18,97,158208.7,25178.37,0,42.5,ARDSLEY UFSD
19,86,62666.2,23262.18,11,5.4,ARGYLE CSD
20,100,57429.4,19505.93,0,6.1,ARKPORT CSD
21,91,90955.7,21035.77,3,34.4,ARLINGTON CSD
22,91,66734.2,20326.08,2,4.7,ATTICA CSD
23,76,51517.0,15909.72,12,23.0,AUBURN CITY SCHOOL DISTRICT
24,88,72556.1,23515.55,11,3.4,AUSABLE VALLEY CSD
25,94,84931.2,18170.81,3,8.7,AVERILL PARK CSD
26,95,49992.2,23182.35,3,6.9,AVOCA CSD
27,93,75221.8,15986.52,2,11.9,AVON CSD
28,96,112620.0,29037.85,0,24.2,BABYLON UFSD
29,96,51899.9,18604.94,0,9.6,BAINBRIDGE-GUILFORD CSD
30,95,98237.4,24058.03,0,87.9,BALDWIN UFSD
31,93,70991.0,16551.37,4,12.4,BALDWINSVILLE CSD
32,89,86613.8,17822.98,6,8.3,BALLSTON SPA CSD
33,92,62311.7,20097.18,2,12.4,BARKER CSD
34,94,60567.0,19357.91,2,27.9,BATAVIA CITY SCHOOL DISTRICT
35,90,52368.6,14747.3,6,4.0,BATH CSD
36,87,116545.0,23456.92,4,72.2,BAY SHORE UFSD
37,98,110745.8,30894.87,0,15.0,BAYPORT-BLUE POINT UFSD
38,88,84118.3,20683.23,6,55.3,BEACON CITY SCHOOL DISTRICT
39,91,52416.5,15124.46,1,2.6,BEAVER RIVER CSD
40,86,151156.8,29882.43,4,48.4,BEDFORD CSD
41,94,60106.7,15225.58,3,5.5,BEEKMANTOWN CSD
42,81,51402.3,22753.52,0,4.0,BELFAST CSD
46,98,54523.0,17784.12,2,3.7,BEMUS POINT CSD
48,82,79717.4,24974.93,13,3.6,BERLIN CSD
49,92,77819.2,24220.44,1,6.0,BERNE-KNOX-WESTERLO CSD
50,94,89023.7,17185.56,3,16.0,BETHLEHEM CSD
51,95,130513.4,26750.9,1,37.3,BETHPAGE UFSD
52,73,48095.0,20117.55,16,58.3,BINGHAMTON CITY SCHOOL DISTRICT
53,99,125493.0,27396.38,0,22.3,BLIND BROOK-RYE UFSD
54,94,52773.8,21660.27,5,3.0,BOLIVAR-RICHBURG CSD
55,86,82051.0,38860.88,0,10.1,BOLTON CSD
57,97,57434.0,25011.05,3,2.5,BRADFORD CSD
58,86,52303.6,18091.67,8,6.2,BRASHER FALLS CSD
59,76,98721.0,19390.0,12,97.1,BRENTWOOD UFSD
60,88,103172.7,26271.8,6,49.2,BREWSTER CSD
61,97,166958.5,30106.31,1,32.4,BRIARCLIFF MANOR UFSD
62,86,115114.0,60852.77,7,77.5,BRIDGEHAMPTON UFSD
63,95,79012.8,18309.26,1,32.0,BRIGHTON CSD
64,90,59113.8,16438.42,6,5.1,BROADALBIN-PERTH CSD
65,91,68815.6,19153.63,2,20.5,BROCKPORT CSD
66,88,54416.2,22092.47,7,18.1,BROCTON CSD
67,97,108142.0,25738.45,0,19.9,BRONXVILLE UFSD
68,82,57008.2,24173.83,14,1.4,BROOKFIELD CSD
69,92,118550.6,22056.41,4,41.8,BROOKHAVEN-COMSEWOGUE UFSD
70,88,80701.6,17579.17,4,10.5,BRUNSWICK CSD (BRITTONKILL)
71,83,52123.4,20707.52,5,2.8,BRUSHTON-MOIRA CSD
72,76,43318.8,18959.77,12,81.0,BUFFALO CITY SCHOOL DISTRICT
73,96,89112.3,17703.0,2,7.9,BURNT HILLS-BALLSTON LAKE CSD
74,99,147694.3,34560.05,0,17.1,BYRAM HILLS CSD
75,98,66222.8,21604.84,1,11.5,BYRON-BERGEN CSD
76,92,63166.3,21073.84,5,18.7,CAIRO-DURHAM CSD
77,97,66146.2,18494.78,1,6.8,CALEDONIA-MUMFORD CSD
78,93,75838.3,20247.7,6,7.8,CAMBRIDGE CSD
79,86,61254.1,19020.69,6,6.1,CAMDEN CSD
80,95,56361.8,20618.32,3,5.4,CAMPBELL-SAVONA CSD
81,94,59828.0,21495.74,4,6.2,CANAJOHARIE CSD
82,92,72225.6,17678.85,4,12.7,CANANDAIGUA CITY SCHOOL DISTRICT
83,71,56816.0,24196.83,18,5.5,CANASERAGA CSD
84,84,72601.0,17657.1,7,10.0,CANASTOTA CSD
85,93,60132.5,19391.18,3,7.2,CANDOR CSD
86,93,50768.0,22874.26,4,4.3,CANISTEO-GREENWOOD CSD
87,82,54204.0,20152.15,1,7.3,CANTON CSD
88,98,104753.3,32591.09,0,35.4,CARLE PLACE UFSD
89,92,110606.5,27298.65,3,37.6,CARMEL CSD
90,89,53290.6,17149.15,5,25.9,CARTHAGE CSD
91,88,55387.6,20862.54,7,6.0,CASSADAGA VALLEY CSD
92,89,64765.8,18088.09,5,8.1,CATO-MERIDIAN CSD
93,91,58658.8,24088.35,4,32.9,CATSKILL CSD
94,93,52411.0,19362.54,4,6.9,CATTARAUGUS-LITTLE VALLEY CSD
95,94,69543.9,17708.25,2,6.0,CAZENOVIA CSD
96,93,99102.0,24593.36,1,26.8,CENTER MORICHES UFSD
97,88,101402.4,21656.92,1,96.1,CENTRAL ISLIP UFSD
98,87,67685.7,17310.54,8,6.1,CENTRAL SQUARE CSD
100,99,171975.0,29069.23,0,25.9,CHAPPAQUA CSD
102,97,56603.8,20495.72,3,1.3,CHATEAUGAY CSD
103,94,80405.8,25024.45,4,13.0,CHATHAM CSD
