Use of Funds Descriptions,,,,,,,,,
BASIC: Mandated Improvement Activities include - Administration of surveys; Implementation of evidence-based interventions identified within the 2020-21 SCEP; Implementation of activities other than activities identified as evidence-based interventions in the 2020-21 DCIP/SCEP(s); Planning and development of 2020-2021 (only for newly identified TSI schools) and 2021-22 improvement plans; Implementation of Participatory Budgeting (PB) or one of the approved alternatives to PB in CSI Schools. ,,,,,,,,,
"ENHANCED: Five of the options available to schools involve participation in a Professional Learning Community and school-specific coaching organized by the Office of Accountability. These five options, referred to as “Enhanced” options, are: High School Redesign (two-year program); Enhancing Principal Leadership (two-year program); Developing a Restorative School; Instructional Coaching Consortium (ICC); Leveraging Digital Learning",,,,,,,,,
"NYSIP-PLC: Increase student achievement in New York State Title I Schools, particularly those schools identified for improvement, by encouraging greater integration by race and ethnicity, as well as socioeconomic, special education, and English language learner/Multilingual learner (ELL/MLL) status.",,,,,,,,,
Green - Target District,,,,,,,,,
,,,,Basic,,,,,
DISTRICT ,BEDS CODE,DISTRICT/SCHOOL NAME,STATUS,TD $,CSI $,TSI $,Enhanced,NYSIP-PLC,Use of Funds
NYC GEOG DIST # 1 -MANHATTAN,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,TD,"$50,000",,,,,Basic
NYC GEOG DIST # 1 - MANHATTAN,310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,CSI,,"$200,000",,,,Basic
NYC GEOG DIST # 1 - MANHATTAN,310100010363,NEIGHBORHOOD SCHOOL,NEW TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 1 - MANHATTAN,310100010364,EARTH SCHOOL,NEW TSI-3,,,"$75,000",,,Basic
NYC GEOG DIST # 1 - MANHATTAN,310100011515,LOWER EAST SIDE PREP HIGH SCHOOL,NEW TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 2 -MANHATTAN,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,TD,"$50,000",,,,"$1,194,796",NYSIP & Basic
NYC GEOG DIST # 2 - MANHATTAN,310200010033,PS 33 CHELSEA PREP,NEW TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 2 - MANHATTAN,310200011422,QUEST TO LEARN,NEW TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 2 - MANHATTAN,310200011425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 2 - MANHATTAN,310200011544,INDEPENDENCE HIGH SCHOOL,TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 3 - MANHATTAN,310300010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 3,TD,"$50,000",,,,"$1,196,091",NYSIP & Basic
NYC GEOG DIST # 3 - MANHATTAN,310300010076,PS 76 A PHILLIP RANDOLPH,CSI,,"$200,000",,,,Basic
NYC GEOG DIST # 3 - MANHATTAN,310300011494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,CSI,,"$200,000",,"$125,000",,HS Redesign Yr 2 & Basic
NYC GEOG DIST # 4 - MANHATTAN,310400010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 4,TD,"$50,000",,,,,Basic
NYC GEOG DIST # 4 - MANHATTAN,310400010057,JAMES WELDON JOHNSON SCHOOL,NEW TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 4 - MANHATTAN,310400010155,PS 155 WILLIAM PACA,CSI,,"$200,000",,,,Basic
NYC GEOG DIST # 4 - MANHATTAN,310400010372,ESPERANZA PREPATORY ACADEMY,TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 4 - MANHATTAN,310400010497,CENTRAL PARK EAST I,CSI,,"$200,000",,,,Basic
NYC GEOG DIST # 4 - MANHATTAN,310400010964,CENTRAL PARK EAST II,NEW TSI-3,,,"$75,000",,,Basic
NYC GEOG DIST # 5 - MANHATTAN,310500010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 5,TD,"$50,000",,,,,Basic
NYC GEOG DIST # 5 - MANHATTAN,310500010046,PS 46 ARTHUR TAPPAN,TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 5 - MANHATTAN,310500010133,PS 133 FRED R MOORE,CSI,,"$200,000",,,,Basic
NYC GEOG DIST # 5 - MANHATTAN,310500010154,PS 154 HARRIET TUBMAN,TSI,,,"$50,000",,,Basic
NYC GEOG DIST # 5 - MANHATTAN,310500010194,PS 194 COUNTEE CULLEN,CSI,,"$200,000",,,,Basic
NYC GEOG DIST # 5 - MANHATTAN,310500010197,PS 197 JOHN B RUSSWURM,CSI,,"$200,000",,"$10,000",,Instructional Coaching Consortium & Basic
