Use of Funds Descriptions,,,,,,,,,
BASIC: Mandated Improvement Activities include - Administration of surveys; Implementation of evidence-based interventions identified within the 2020-21 SCEP; Implementation of activities other than activities identified as evidence-based interventions in the 2020-21 DCIP/SCEP(s); Planning and development of 2020-2021 (only for newly identified TSI schools) and 2021-22 improvement plans; Implementation of Participatory Budgeting (PB) or one of the approved alternatives to PB in CSI Schools. ,,,,,,,,,
TARGETED SUPPORT: The funds must directly connect to established Demonstrable Improvement Indicators (DIIs) for all eligle CSI schools and established School Comprehensive Education Plan (SCEP) goals for all eligble TSI schools. The funds must support activities and expenses that will increase the likelihood of the school reaching its DIIs or SCEP goals.,,,,,,,,,
"ENHANCED: Five of the options available to schools involve participation in a Professional Learning Community and school-specific coaching organized by the Office of Accountability. These five options, referred to as “Enhanced” options, are: High School Redesign (two-year program); Enhancing Principal Leadership (two-year program); Developing a Restorative School; Instructional Coaching Consortium (ICC); Leveraging Digital Learning",,,,,,,,,
"NYSIP-PLC: Increase student achievement in New York State Title I Schools, particularly those schools identified for improvement, by encouraging greater integration by race and ethnicity, as well as socioeconomic, special education, and English language learner/Multilingual learner (ELL/MLL) status.",,,,,,,,,
Green - Target District,,,,,,,,,
Yellow - New Target District,,,,,,,,,
,,,Basic,,,,,,
DISTRICT ,BEDS CODE,DISTRICT/SCHOOL NAME,TD $,CSI $,TSI $, Targeted ,Enhanced,NSYIP-PLC,Use of Funds
AFTON CSD,080101040000,AFTON CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
AFTON CSD,080101040003,AFTON JUNIOR/SENIOR HIGH SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
ALBANY CITY SD,010100010000,ALBANY CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
ALBANY CITY SD,010100010018,DELAWARE COMMUNITY SCHOOL,,,"$50,000",,,,Basic
ALBANY CITY SD,010100010027,EAGLE POINT ELEMENTARY SCHOOL,,,"$75,000",,,,Basic
ALBANY CITY SD,010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,,,"$50,000",,,,Basic
ALBANY CITY SD,010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
ALBANY CITY SD,010100010044,SHERIDAN PREPARATORY ACADEMY,,"$200,000",,,,,Basic
ALBANY CITY SD,010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,,"$200,000",,,,,Basic
AMITYVILLE UFSD,580106030000,AMITYVILLE UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
AMITYVILLE UFSD,580106030002,NORTHWEST ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
AMITYVILLE UFSD,580106030004,EDMUND W MILES MIDDLE SCHOOL,,"$200,000",,,,,Basic
AMSTERDAM CITY SD,270100010000,AMSTERDAM CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
AMSTERDAM CITY SD,270100010003,WILLIAM H BARKLEY MICROSOCIETY,,,"$50,000",,,,Basic
AMSTERDAM CITY SD,270100010006,RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LITERACY,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
AMSTERDAM CITY SD,270100010009,WILBUR H LYNCH LITERACY ACADEMY,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
AMSTERDAM CITY SD,270100010010,AMSTERDAM HIGH SCHOOL,,,"$50,000",,,,Basic
ARLINGTON CSD,131601060000,ARLINGTON CSD,"$50,000",,,,,,Basic
ARLINGTON CSD,131601060012,LAGRANGE MIDDLE SCHOOL,,,"$50,000",,,,Basic
AUBURN CITY SD,050100010000,AUBURN CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
AUBURN CITY SD,050100010002,CASEY PARK ELEMENTARY SCHOOL,,"$200,000",,,"$20,000",,Developing a Restorative School  & Basic
AUBURN CITY SD,050100010007,OWASCO ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
AUBURN CITY SD,050100010009,AUBURN JUNIOR HIGH SCHOOL,,,"$75,000",,,,Basic
AUSABLE VALLEY CSD,090201040000,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
AUSABLE VALLEY CSD,090201040005,AUSABLE VALLEY MIDDLE SCHOOL,,"$200,000",,,"$10,000",,Leveraging Digital Learning & Basic
BABYLON UFSD,580101030000,BABYLON UFSD,"$50,000",,,,,,Basic
BALDWINSVILLE CSD,420901060000,BALDWINSVILLE CSD,"$50,000",,,,,,Basic
BALDWINSVILLE CSD,420901060002,HARRY E ELDEN ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
BALDWINSVILLE CSD,420901060006,THEODORE R DURGEE JUNIOR HIGH SCH,,,"$50,000",,,,Basic
BATAVIA CITY SD,180300010000,BATAVIA CITY SD,"$50,000",,,,,,Basic
BEACON CITY SD,130200010000,BEACON CITY SD,"$50,000",,,,,,Basic
BEACON CITY SD,130200010004,ROMBOUT MIDDLE SCHOOL,,,"$50,000",,,,Basic
BEACON CITY SD,130200010006,SARGENT SCHOOL,,,"$50,000",,,,Basic
BEDFORD CSD,660102060000,BEDFORD CSD,"$50,000",,,,,,Basic
BEDFORD CSD,660102060004,POUND RIDGE ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
BERLIN CSD,490101040000,BERLIN CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
BERLIN CSD,490101040006,BERLIN HIGH SCHOOL,,"$200,000",,,,,Basic
BINGHAMTON CITY SD,030200010000,BINGHAMTON CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
BINGHAMTON CITY SD,030200010002,CALVIN COOLIDGE SCHOOL,,,"$50,000",,,,Basic
BINGHAMTON CITY SD,030200010005,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
BINGHAMTON CITY SD,030200010011,MACARTHUR SCHOOL,,,"$50,000",,,,Basic
BINGHAMTON CITY SD,030200010012,THEODORE ROOSEVELT SCHOOL,,"$200,000",,,,,Basic
BINGHAMTON CITY SD,030200010014,WOODROW WILSON SCHOOL,,,"$75,000",,,,Basic
BINGHAMTON CITY SD,030200010016,WEST MIDDLE SCHOOL,,,"$50,000",,,,Basic
