,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
0,ADDISON CSD,90,3,23833.02,976,503,473,945,3.2
1,ADIRONDACK CSD,92,5,14013.61,1145,575,570,1125,1.7
2,AFTON CSD,83,10,24128.02,507,262,245,462,8.9
3,AKRON CSD,95,3,17552.56,1334,667,667,1101,17.5
4,ALBANY CITY SCHOOL DISTRICT,71,12,22382.65,8610,4444,4166,1708,80.2
5,ALBION CSD,85,11,15094.95,1781,887,894,1327,25.5
6,ALDEN CSD,96,1,16574.76,1581,783,798,1514,4.2
7,ALEXANDER CSD,95,2,19435.51,787,378,409,736,6.5
8,ALEXANDRIA CSD,88,5,21219.66,472,232,240,447,5.3
9,ALFRED-ALMOND CSD,100,0,18461.16,601,329,272,543,9.7
10,ALLEGANY-LIMESTONE CSD,87,4,16367.35,1103,574,529,1014,8.1
11,ALTMAR-PARISH-WILLIAMSTOWN CSD,82,9,23307.26,1067,537,530,999,6.4
12,AMAGANSETT UFSD,—,—,97583.80,64,30,34,39,39.1
13,AMHERST CSD,93,1,15755.19,2925,1516,1409,1956,33.1
14,AMITYVILLE UFSD,85,7,23455.51,2997,1594,1403,139,95.4
15,AMSTERDAM CITY SCHOOL DISTRICT,84,6,17207.22,3586,1838,1748,1458,59.3
16,ANDES CSD,100,0,38857.67,65,35,30,58,10.8
17,ANDOVER CSD,89,4,24277.59,278,127,151,270,2.9
18,ARDSLEY UFSD,97,0,25178.37,2325,1257,1068,1336,42.5
19,ARGYLE CSD,86,11,23262.18,463,233,230,438,5.4
20,ARKPORT CSD,100,0,19505.93,459,241,218,431,6.1
21,ARLINGTON CSD,91,3,21035.77,7963,3966,3997,5227,34.4
22,ATTICA CSD,91,2,20326.08,1160,574,586,1105,4.7
23,AUBURN CITY SCHOOL DISTRICT,76,12,15909.72,4106,2124,1982,3163,23.0
24,AUSABLE VALLEY CSD,88,11,23515.55,1112,561,551,1074,3.4
25,AVERILL PARK CSD,94,3,18170.81,2663,1336,1327,2432,8.7
26,AVOCA CSD,95,3,23182.35,421,216,205,392,6.9
27,AVON CSD,93,2,15986.52,1007,518,489,887,11.9
28,BABYLON UFSD,96,0,29037.85,1555,787,768,1179,24.2
29,BAINBRIDGE-GUILFORD CSD,96,0,18604.94,773,394,379,699,9.6
30,BALDWIN UFSD,95,0,24058.03,4477,2360,2117,540,87.9
31,BALDWINSVILLE CSD,93,4,16551.37,5390,2816,2574,4720,12.4
32,BALLSTON SPA CSD,89,6,17822.98,4064,2105,1959,3725,8.3
33,BARKER CSD,92,2,20097.18,699,365,334,612,12.4
34,BATAVIA CITY SCHOOL DISTRICT,94,2,19357.91,2190,1156,1034,1580,27.9
35,BATH CSD,90,6,14747.30,1419,722,697,1362,4.0
36,BAY SHORE UFSD,87,4,23456.92,5848,2990,2858,1626,72.2
37,BAYPORT-BLUE POINT UFSD,98,0,30894.87,2080,1047,1033,1768,15.0
38,BEACON CITY SCHOOL DISTRICT,88,6,20683.23,2723,1358,1365,1217,55.3
39,BEAVER RIVER CSD,91,1,15124.46,871,456,415,848,2.6
40,BEDFORD CSD,86,4,29882.43,3902,1993,1909,2014,48.4
41,BEEKMANTOWN CSD,94,3,15225.58,1915,997,918,1809,5.5
42,BELFAST CSD,81,0,22753.52,322,167,155,309,4.0
43,BELLEVILLE-HENDERSON CSD,92,0,16968.41,463,240,223,424,8.4
44,BELLMORE UFSD,—,—,28180.70,946,475,471,727,23.2
45,BELLMORE-MERRICK CENTRAL HS DISTRICT,97,0,25413.48,5272,2672,2600,4126,21.7
46,BEMUS POINT CSD,98,2,17784.12,621,331,290,598,3.7
47,BERKSHIRE UFSD,—,—,N/A,83,72,11,32,61.4
48,BERLIN CSD,82,13,24974.93,673,349,324,649,3.6
49,BERNE-KNOX-WESTERLO CSD,92,1,24220.44,716,366,350,673,6.0
50,BETHLEHEM CSD,94,3,17185.56,4336,2205,2131,3644,16.0
