,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
0,0,0,ADDISON CSD,90,3,23833.02,976,503,473,3.2,59328.0
1,1,1,ADIRONDACK CSD,92,5,14013.61,1145,575,570,1.7,63986.4
2,2,2,AFTON CSD,83,10,24128.02,507,262,245,8.9,54818.3
3,3,3,AKRON CSD,95,3,17552.56,1334,667,667,17.5,76903.8
4,4,4,ALBANY CITY SCHOOL DISTRICT,71,12,22382.65,8610,4444,4166,80.2,61049.2
5,5,5,ALBION CSD,85,11,15094.95,1781,887,894,25.5,60784.3
6,6,6,ALDEN CSD,96,1,16574.76,1581,783,798,4.2,80543.8
7,7,7,ALEXANDER CSD,95,2,19435.51,787,378,409,6.5,67828.6
8,8,8,ALEXANDRIA CSD,88,5,21219.66,472,232,240,5.3,55344.5
9,9,9,ALFRED-ALMOND CSD,100,0,18461.16,601,329,272,9.7,51929.3
10,10,10,ALLEGANY-LIMESTONE CSD,87,4,16367.35,1103,574,529,8.1,49249.8
11,11,11,ALTMAR-PARISH-WILLIAMSTOWN CSD,82,9,23307.26,1067,537,530,6.4,62701.6
12,12,12,AMAGANSETT UFSD,—,—,97583.8,64,30,34,39.1,114088.7
13,13,13,AMHERST CSD,93,1,15755.19,2925,1516,1409,33.1,69733.7
14,14,14,AMITYVILLE UFSD,85,7,23455.51,2997,1594,1403,95.4,109412.0
15,15,15,AMSTERDAM CITY SCHOOL DISTRICT,84,6,17207.22,3586,1838,1748,59.3,65237.6
16,16,16,ANDES CSD,100,0,38857.67,65,35,30,10.8,56633.9
17,17,17,ANDOVER CSD,89,4,24277.59,278,127,151,2.9,49658.6
18,18,18,ARDSLEY UFSD,97,0,25178.37,2325,1257,1068,42.5,158208.7
19,19,19,ARGYLE CSD,86,11,23262.18,463,233,230,5.4,62666.2
20,20,20,ARKPORT CSD,100,0,19505.93,459,241,218,6.1,57429.4
21,21,21,ARLINGTON CSD,91,3,21035.77,7963,3966,3997,34.4,90955.7
22,22,22,ATTICA CSD,91,2,20326.08,1160,574,586,4.7,66734.2
23,23,23,AUBURN CITY SCHOOL DISTRICT,76,12,15909.72,4106,2124,1982,23.0,51517.0
24,24,24,AUSABLE VALLEY CSD,88,11,23515.55,1112,561,551,3.4,72556.1
25,25,25,AVERILL PARK CSD,94,3,18170.81,2663,1336,1327,8.7,84931.2
26,26,26,AVOCA CSD,95,3,23182.35,421,216,205,6.9,49992.2
27,27,27,AVON CSD,93,2,15986.52,1007,518,489,11.9,75221.8
28,28,28,BABYLON UFSD,96,0,29037.85,1555,787,768,24.2,112620.0
29,29,29,BAINBRIDGE-GUILFORD CSD,96,0,18604.94,773,394,379,9.6,51899.9
30,30,30,BALDWIN UFSD,95,0,24058.03,4477,2360,2117,87.9,98237.4
31,31,31,BALDWINSVILLE CSD,93,4,16551.37,5390,2816,2574,12.4,70991.0
32,32,32,BALLSTON SPA CSD,89,6,17822.98,4064,2105,1959,8.3,86613.8
33,33,33,BARKER CSD,92,2,20097.18,699,365,334,12.4,62311.7
34,34,34,BATAVIA CITY SCHOOL DISTRICT,94,2,19357.91,2190,1156,1034,27.9,60567.0
35,35,35,BATH CSD,90,6,14747.3,1419,722,697,4.0,52368.6
36,36,36,BAY SHORE UFSD,87,4,23456.92,5848,2990,2858,72.2,116545.0
37,37,37,BAYPORT-BLUE POINT UFSD,98,0,30894.87,2080,1047,1033,15.0,110745.8
38,38,38,BEACON CITY SCHOOL DISTRICT,88,6,20683.23,2723,1358,1365,55.3,84118.3
39,39,39,BEAVER RIVER CSD,91,1,15124.46,871,456,415,2.6,52416.5
40,40,40,BEDFORD CSD,86,4,29882.43,3902,1993,1909,48.4,151156.8
41,41,41,BEEKMANTOWN CSD,94,3,15225.58,1915,997,918,5.5,60106.7
42,42,42,BELFAST CSD,81,0,22753.52,322,167,155,4.0,51402.3
43,43,43,BELLEVILLE-HENDERSON CSD,92,0,16968.41,463,240,223,8.4,
44,44,44,BELLMORE UFSD,—,—,28180.7,946,475,471,23.2,146297.3
45,45,45,BELLMORE-MERRICK CENTRAL HS DISTRICT,97,0,25413.48,5272,2672,2600,21.7,
46,46,46,BEMUS POINT CSD,98,2,17784.12,621,331,290,3.7,54523.0
47,47,47,BERKSHIRE UFSD,—,—,,83,72,11,61.4,
48,48,48,BERLIN CSD,82,13,24974.93,673,349,324,3.6,79717.4
49,49,49,BERNE-KNOX-WESTERLO CSD,92,1,24220.44,716,366,350,6.0,77819.2
50,50,50,BETHLEHEM CSD,94,3,17185.56,4336,2205,2131,16.0,89023.7
51,51,51,BETHPAGE UFSD,95,1,26750.9,2945,1455,1490,37.3,130513.4
52,52,52,BINGHAMTON CITY SCHOOL DISTRICT,73,16,20117.55,4946,2535,2411,58.3,48095.0
53,53,53,BLIND BROOK-RYE UFSD,99,0,27396.38,1364,688,676,22.3,125493.0
54,54,54,BOLIVAR-RICHBURG CSD,94,5,21660.27,697,385,312,3.0,52773.8
55,55,55,BOLTON CSD,86,0,38860.88,179,91,88,10.1,82051.0
56,56,56,BOQUET VALLEY CSD,92,8,29438.51,410,220,190,2.4,
57,57,57,BRADFORD CSD,97,3,25011.05,237,118,119,2.5,57434.0
58,58,58,BRASHER FALLS CSD,86,8,18091.67,964,479,485,6.2,52303.6
59,59,59,BRENTWOOD UFSD,76,12,19390.0,18826,9652,9174,97.1,98721.0
60,60,60,BREWSTER CSD,88,6,26271.8,3066,1616,1450,49.2,103172.7
61,61,61,BRIARCLIFF MANOR UFSD,97,1,30106.31,1390,732,658,32.4,166958.5
62,62,62,BRIDGEHAMPTON UFSD,86,7,60852.77,209,109,100,77.5,115114.0
63,63,63,BRIGHTON CSD,95,1,18309.26,3518,1766,1752,32.0,79012.8
64,64,64,BROADALBIN-PERTH CSD,90,6,16438.42,1681,853,828,5.1,59113.8
65,65,65,BROCKPORT CSD,91,2,19153.63,3168,1625,1543,20.5,68815.6
66,66,66,BROCTON CSD,88,7,22092.47,509,231,278,18.1,54416.2
67,67,68,BRONXVILLE UFSD,97,0,25738.45,1642,863,779,19.9,108142.0
68,68,69,BROOKFIELD CSD,82,14,24173.83,207,94,113,1.4,57008.2
69,69,70,BROOKHAVEN-COMSEWOGUE UFSD,92,4,22056.41,3683,1813,1870,41.8,118550.6
70,70,72,BRUNSWICK CSD (BRITTONKILL),88,4,17579.17,1149,585,564,10.5,80701.6
71,71,73,BRUSHTON-MOIRA CSD,83,5,20707.52,761,400,361,2.8,52123.4
72,72,74,BUFFALO CITY SCHOOL DISTRICT,76,12,18959.77,30674,15520,15154,81.0,43318.8
73,73,75,BURNT HILLS-BALLSTON LAKE CSD,96,2,17703.0,3082,1562,1520,7.9,89112.3
74,74,76,BYRAM HILLS CSD,99,0,34560.05,2274,1159,1115,17.1,147694.3
75,75,77,BYRON-BERGEN CSD,98,1,21604.84,828,385,443,11.5,66222.8
76,76,78,CAIRO-DURHAM CSD,92,5,21073.84,1179,601,578,18.7,63166.3
77,77,79,CALEDONIA-MUMFORD CSD,97,1,18494.78,755,367,388,6.8,66146.2
78,78,80,CAMBRIDGE CSD,93,6,20247.7,823,420,403,7.8,75838.3
79,79,81,CAMDEN CSD,86,6,19020.69,1963,983,980,6.1,61254.1
80,80,82,CAMPBELL-SAVONA CSD,95,3,20618.32,791,373,418,5.4,56361.8
81,81,83,CANAJOHARIE CSD,94,4,21495.74,818,416,402,6.2,59828.0
82,82,84,CANANDAIGUA CITY SCHOOL DISTRICT,92,4,17678.85,3357,1720,1637,12.7,72225.6
83,83,85,CANASERAGA CSD,71,18,24196.83,199,94,105,5.5,56816.0
84,84,86,CANASTOTA CSD,84,7,17657.1,1275,645,630,10.0,72601.0
