,ZipCodes,MedianHouseholdIncome
0,06390,"113,454"
1,10001,"166,167"
2,10002,"70,204"
3,10003,"211,756"
4,10004,"325,028"
5,10005,"218,441"
6,10006,"226,459"
7,10007,"409,624"
8,10009,"108,017"
9,10010,"214,151"
10,10011,"210,553"
11,10012,"180,973"
12,10013,"294,915"
13,10014,"217,624"
14,10016,"181,643"
15,10017,"184,005"
16,10018,"187,702"
17,10019,"177,809"
18,10020,-
19,10021,"237,726"
20,10022,"257,537"
21,10023,"226,093"
22,10024,"267,771"
23,10025,"176,758"
24,10026,"109,506"
25,10027,"95,040"
26,10028,"225,593"
27,10029,"71,046"
28,10030,"77,671"
29,10031,"81,495"
30,10032,"75,308"
31,10033,"85,288"
32,10034,"78,544"
33,10035,"58,682"
34,10036,"139,050"
35,10037,"69,346"
36,10038,"155,311"
37,10039,"60,694"
38,10040,"72,654"
39,10044,"150,655"
40,10065,"264,139"
41,10069,"232,218"
42,10075,"241,307"
43,10103,-
44,10110,-
45,10111,-
46,10112,-
47,10115,-
48,10119,-
49,10128,"206,466"
50,10152,-
51,10153,-
52,10154,-
53,10162,"147,342"
54,10165,-
55,10167,-
56,10168,-
57,10169,-
58,10170,-
59,10171,-
60,10172,-
61,10173,-
62,10174,-
63,10177,-
64,10199,-
65,10271,-
66,10278,-
67,10279,N
68,10280,"251,759"
69,10282,"393,072"
70,10301,"99,556"
71,10302,"88,283"
72,10303,"88,661"
73,10304,"98,456"
74,10305,"99,302"
75,10306,"104,057"
76,10307,"135,651"
77,10308,"121,935"
78,10309,"126,007"
79,10310,"101,813"
80,10311,-
81,10312,"118,146"
82,10314,"109,918"
83,10451,"50,993"
84,10452,"40,997"
85,10453,"44,957"
86,10454,"41,202"
87,10455,"44,051"
88,10456,"46,124"
89,10457,"48,599"
90,10458,"49,919"
91,10459,"47,731"
92,10460,"49,926"
93,10461,"79,026"
94,10462,"70,330"
95,10463,"87,212"
96,10464,"121,430"
97,10465,"94,444"
98,10466,"77,651"
99,10467,"55,988"
100,10468,"50,877"
101,10469,"85,371"
102,10470,"84,976"
103,10471,"137,185"
104,10472,"53,992"
105,10473,"66,325"
106,10474,"43,048"
107,10475,"63,862"
108,10501,"224,137"
109,10502,"238,206"
110,10503,"176,757"
111,10504,"327,734"
112,10505,"211,354"
113,10506,"326,962"
114,10507,"161,886"
115,10509,"130,893"
116,10510,"271,732"
117,10511,"142,140"
118,10512,"120,572"
119,10514,"328,379"
120,10516,"151,301"
121,10517,"113,150"
122,10518,"235,456"
123,10519,"160,840"
124,10520,"157,593"
125,10522,"196,619"
126,10523,"130,024"
127,10524,"148,292"
128,10526,"273,431"
129,10527,"197,365"
130,10528,"207,418"
131,10530,"141,248"
132,10532,"144,280"
133,10533,"238,039"
134,10535,"159,535"
135,10536,"246,529"
136,10537,"107,796"
137,10538,"291,256"
138,10541,"136,810"
139,10543,"182,293"
140,10545,-
141,10546,"267,357"
142,10547,"137,879"
143,10548,"118,367"
144,10549,"173,220"
145,10550,"64,046"
146,10552,"102,401"
147,10553,"98,814"
148,10560,"177,313"
149,10562,"122,801"
150,10566,"83,892"
151,10567,"164,871"
152,10570,"198,979"
153,10573,"139,027"
154,10576,"315,237"
155,10577,"326,943"
156,10578,"229,387"
157,10579,"152,422"
158,10580,"318,770"
159,10583,"311,238"
160,10588,"129,829"
161,10589,"151,135"
162,10590,"198,694"
163,10591,"147,702"
164,10594,"182,791"
165,10595,"148,181"
166,10596,"100,864"
167,10597,"270,076"
168,10598,"153,734"
169,10601,"125,938"
170,10603,"128,927"
171,10604,"159,821"
172,10605,"166,510"
173,10606,"127,182"
174,10607,"160,887"
175,10701,"77,004"
176,10703,"94,962"
177,10704,"101,070"
178,10705,"84,705"
179,10706,"217,163"
180,10707,"160,879"
181,10708,"190,835"
182,10709,"168,352"
183,10710,"107,101"
184,10801,"100,614"
185,10803,"251,013"
186,10804,"253,155"
187,10805,"102,512"
188,10901,"124,034"
189,10910,-
190,10911,-
191,10913,"193,394"
192,10914,"86,301"
193,10915,N
194,10916,"129,529"
195,10917,"181,181"
196,10918,"128,176"
197,10919,"100,462"
198,10920,"151,653"
199,10921,"110,763"
200,10922,"107,148"
201,10923,"112,071"
202,10924,"123,936"
203,10925,"98,407"
204,10926,"104,889"
205,10927,"89,444"
206,10928,"94,236"
207,10930,"133,524"
208,10931,"90,047"
209,10932,N
210,10933,"99,250"
211,10940,"88,840"
212,10941,"98,671"
213,10950,"95,494"
214,10952,"81,616"
215,10953,N
216,10954,"130,104"
217,10956,"173,129"
218,10958,"110,324"
219,10960,"149,622"
220,10962,"158,187"
221,10963,"106,162"
222,10964,"230,562"
223,10965,"140,428"
224,10968,"147,394"
225,10969,"141,872"
226,10970,"108,973"
227,10973,"129,084"
228,10974,"118,324"
229,10975,"73,786"
230,10976,"105,938"
231,10977,"92,260"
232,10979,N
233,10980,"123,387"
234,10983,"178,863"
235,10984,"169,572"
236,10985,"162,647"
237,10986,"184,493"
238,10987,"191,883"
239,10988,"107,444"
240,10989,"138,464"
241,10990,"129,003"
242,10992,"110,460"
243,10993,"67,866"
244,10994,"169,947"
245,10996,"125,932"
246,10998,"111,532"
247,11001,"146,902"
248,11003,"120,800"
249,11004,"124,334"
250,11005,"450,531"
251,11010,"128,233"
252,11020,"210,336"
253,11021,"166,860"
254,11023,"179,424"
255,11024,"200,794"
256,11030,"340,827"
257,11040,"163,186"
258,11042,-
259,11050,"210,400"
260,11096,"82,488"
261,11101,"123,847"
262,11102,"104,415"
263,11103,"98,170"
264,11104,"94,487"
265,11105,"107,029"
266,11106,"98,884"
267,11109,"195,918"
268,11201,"198,854"
269,11203,"76,911"
270,11204,"75,987"
271,11205,"104,376"
272,11206,"70,179"
273,11207,"59,078"
274,11208,"64,676"
275,11209,"108,104"
276,11210,"97,562"
277,11211,"128,607"
278,11212,"48,008"
279,11213,"74,892"
280,11214,"81,908"
281,11215,"197,323"
282,11216,"108,890"
283,11217,"182,618"
284,11218,"105,235"
285,11219,"64,234"
286,11220,"75,144"
287,11221,"88,596"
288,11222,"122,507"
289,11223,"84,634"
290,11224,"59,226"
291,11225,"91,135"
292,11226,"80,354"
293,11228,"103,981"
294,11229,"89,740"
295,11230,"85,020"
296,11231,"169,055"
297,11232,"98,875"
298,11233,"71,104"
299,11234,"109,876"
300,11235,"83,018"
301,11236,"89,086"
302,11237,"76,385"
303,11238,"136,836"
304,11239,"43,455"
305,11351,-
306,11354,"67,230"
307,11355,"66,479"
308,11356,"85,304"
309,11357,"106,791"
310,11358,"94,084"
311,11359,-
312,11360,"111,102"
313,11361,"108,796"
314,11362,"110,938"
315,11363,"141,278"
316,11364,"103,613"
317,11365,"87,247"
318,11366,"111,591"
319,11367,"85,658"
320,11368,"71,465"
321,11369,"78,247"
322,11370,"91,315"
323,11371,-
324,11372,"82,871"
325,11373,"73,043"
326,11374,"93,752"
327,11375,"116,806"
328,11377,"79,252"
329,11378,"99,441"
330,11379,"107,104"
331,11385,"90,871"
332,11411,"118,439"
333,11412,"101,822"
334,11413,"108,650"
335,11414,"105,479"
336,11415,"104,554"
337,11416,"88,125"
338,11417,"94,565"
339,11418,"94,702"
340,11419,"93,449"
341,11420,"102,028"
342,11421,"97,905"
343,11422,"107,049"
344,11423,"89,972"
345,11424,-
346,11425,-
347,11426,"119,975"
348,11427,"105,540"
349,11428,"94,622"
350,11429,"97,848"
351,11430,-
352,11432,"90,626"
353,11433,"80,032"
354,11434,"83,921"
355,11435,"88,634"
356,11436,"94,392"
357,11451,-
358,11501,"124,711"
359,11507,"177,436"
360,11509,"189,507"
361,11510,"138,551"
362,11514,"122,735"
363,11516,"128,778"
364,11518,"122,378"
365,11520,"108,589"
366,11530,"230,942"
367,11542,"106,545"
368,11545,"252,842"
369,11547,"128,781"
370,11548,"215,279"
371,11549,-
372,11550,"94,695"
373,11552,"146,000"
374,11553,"107,060"
375,11554,"137,328"
376,11556,-
377,11557,"189,333"
378,11558,"128,286"
379,11559,"193,721"
380,11560,"267,062"
381,11561,"139,105"
382,11563,"148,367"
383,11565,"159,412"
384,11566,"175,710"
385,11568,"368,270"
386,11569,"176,241"
387,11570,"166,176"
388,11572,"140,803"
389,11575,"111,060"
390,11576,"282,603"
391,11577,"220,878"
392,11579,"238,924"
393,11580,"129,851"
394,11581,"146,981"
395,11590,"138,088"
396,11596,"190,103"
397,11598,"209,020"
398,11691,"81,358"
399,11692,"73,727"
400,11693,"77,184"
401,11694,"114,854"
402,11697,"152,227"
403,11701,"103,615"
404,11702,"145,133"
405,11703,"128,889"
406,11704,"116,629"
407,11705,"146,099"
408,11706,"119,692"
409,11709,"163,353"
410,11710,"167,465"
411,11713,"118,851"
412,11714,"135,750"
413,11715,"121,629"
414,11716,"118,372"
415,11717,"115,208"
416,11718,"167,084"
417,11719,"109,507"
418,11720,"124,787"
419,11721,"214,951"
420,11722,"98,198"
421,11724,"293,609"
422,11725,"174,669"
423,11726,"107,831"
424,11727,"104,134"
425,11729,"118,697"
426,11730,"131,627"
427,11731,"154,239"
428,11732,"140,845"
429,11733,"210,615"
430,11735,"138,313"
431,11738,"138,696"
432,11739,"208,330"
433,11740,"149,328"
434,11741,"127,521"
435,11742,"130,307"
436,11743,"188,349"
437,11746,"159,834"
438,11747,"168,013"
439,11749,"104,304"
440,11751,"127,840"
441,11752,"139,641"
442,11753,"242,005"
443,11754,"128,347"
444,11755,"132,707"
445,11756,"133,826"
446,11757,"114,890"
447,11758,"147,558"
448,11762,"155,661"
449,11763,"105,460"
450,11764,"151,849"
451,11765,"444,808"
452,11766,"146,419"
453,11767,"146,540"
454,11768,"186,606"
455,11769,"134,885"
456,11770,"85,596"
457,11771,"197,878"
458,11772,"110,504"
459,11776,"121,027"
460,11777,"164,044"
461,11778,"118,902"
462,11779,"112,880"
463,11780,"170,113"
464,11782,"160,640"
465,11783,"169,355"
466,11784,"108,087"
467,11786,"160,470"
468,11787,"159,002"
469,11788,"140,524"
470,11789,"115,830"
471,11790,"166,275"
472,11791,"230,220"
473,11792,"155,487"
474,11793,"157,726"
475,11794,-
476,11795,"155,865"
477,11796,"123,216"
478,11797,"255,736"
479,11798,"101,943"
480,11801,"134,340"
481,11803,"184,400"
482,11804,"178,258"
483,11901,"85,796"
484,11930,"195,593"
485,11931,N
486,11932,"188,800"
487,11933,"90,835"
488,11934,"131,409"
489,11935,"172,542"
490,11937,"179,537"
491,11939,"119,907"
492,11940,"145,747"
493,11941,"132,500"
494,11942,"121,867"
495,11944,"111,428"
496,11946,"127,029"
497,11947,"118,439"
498,11948,"141,580"
499,11949,"117,685"
500,11950,"100,190"
501,11951,"93,080"
502,11952,"110,685"
503,11953,"93,027"
504,11954,"140,699"
505,11955,"80,590"
506,11956,"124,640"
507,11957,"170,790"
508,11958,"120,401"
509,11959,"132,642"
510,11960,"182,810"
511,11961,"95,928"
512,11962,"165,268"
513,11963,"169,429"
514,11964,"111,314"
515,11965,"118,504"
516,11967,"131,137"
517,11968,"219,113"
518,11970,"34,258"
519,11971,"131,612"
520,11972,"95,859"
521,11973,-
522,11975,"139,968"
523,11976,"296,659"
524,11977,"163,667"
525,11978,"161,675"
526,11980,"107,856"
527,12007,N
528,12008,"114,075"
529,12009,"123,802"
530,12010,"66,819"
531,12015,"101,686"
532,12017,"75,992"
533,12018,"107,477"
534,12019,"120,328"
535,12020,"101,075"
536,12022,"81,688"
537,12023,"91,998"
538,12024,-
539,12025,"87,226"
540,12027,"126,596"
541,12028,"74,221"
542,12029,"103,616"
543,12031,"61,365"
544,12032,"61,914"
545,12033,"91,104"
546,12035,"78,632"
547,12036,"74,986"
548,12037,"89,878"
549,12040,"32,602"
550,12041,"139,990"
551,12042,"89,879"
552,12043,"77,243"
553,12045,"57,292"
554,12046,"84,889"
555,12047,"80,519"
556,12051,"84,633"
557,12052,"81,414"
558,12053,"105,482"
559,12054,"130,479"
560,12056,"94,052"
561,12057,"77,412"
562,12058,"76,111"
563,12059,"94,813"
564,12060,"134,750"
565,12061,"124,178"
566,12062,"80,496"
567,12063,"73,010"
568,12064,"44,251"
569,12065,"121,797"
570,12066,"92,887"
571,12067,"101,324"
572,12068,"77,053"
573,12069,"93,869"
574,12070,"87,334"
575,12071,"68,179"
576,12072,"83,572"
577,12074,"97,291"
578,12075,"101,151"
579,12076,"65,067"
580,12077,"133,920"
581,12078,"59,393"
582,12083,"87,565"
583,12084,"98,044"
584,12085,"44,859"
585,12086,"69,301"
586,12087,"72,779"
587,12089,N
588,12090,"77,062"
589,12092,"56,183"
590,12093,"79,607"
591,12094,"99,112"
592,12095,"72,171"
593,12106,"111,556"
594,12108,"67,111"
595,12110,"95,637"
596,12115,"161,291"
597,12116,"99,798"
598,12117,"105,631"
599,12118,"107,193"
600,12120,"89,675"
601,12121,"98,719"
602,12122,"62,293"
603,12123,"107,912"
604,12124,"80,074"
605,12125,"76,540"
606,12130,"79,472"
607,12131,"53,865"
608,12132,"106,034"
609,12134,"72,838"
610,12136,"159,872"
611,12137,"98,616"
612,12138,"76,379"
613,12139,"73,125"
614,12140,"104,837"
615,12143,"90,619"
616,12144,"87,391"
617,12147,"104,334"
618,12148,"134,507"
619,12149,"68,308"
620,12150,"77,460"
621,12151,"90,771"
622,12153,"79,921"
623,12154,"101,747"
624,12155,"61,479"
