DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
YORKTOWN CSD,97.0,1.0,24424.21,3401.0,1775.0,1626.0,27.8,115881.16,No
CARMEL CSD,92.0,3.0,27298.65,3979.0,2034.0,1945.0,37.6,110606.5,No
CARTHAGE CSD,89.0,5.0,17149.15,3065.0,1602.0,1463.0,25.9,53290.64,Yes
CASSADAGA VALLEY CSD,88.0,7.0,20862.54,799.0,422.0,377.0,6.0,55387.63,""
CATO-MERIDIAN CSD,89.0,5.0,18088.09,860.0,449.0,411.0,8.1,64765.75,""
CATSKILL CSD,91.0,4.0,24088.35,1350.0,668.0,682.0,32.9,58658.83,""
CATTARAUGUS-LITTLE VALLEY CSD,93.0,4.0,19362.54,858.0,431.0,427.0,6.9,52411.0,""
CAZENOVIA CSD,94.0,2.0,17708.25,1360.0,727.0,633.0,6.0,69543.88,""
CENTER MORICHES UFSD,93.0,1.0,24593.36,1513.0,788.0,725.0,26.8,99102.0,""
CENTRAL ISLIP UFSD,88.0,1.0,21656.92,7571.0,3929.0,3642.0,96.1,101402.4,""
CENTRAL SQUARE CSD,87.0,8.0,17310.54,3580.0,1827.0,1753.0,6.1,67685.73,""
CENTRAL VALLEY CSD AT ILION-MOHAWK,87.0,5.0,15522.11,2082.0,1025.0,1057.0,9.4,"",""
CHAPPAQUA CSD,99.0,0.0,29069.23,3625.0,1870.0,1755.0,25.9,171975.0,No
CHATEAUGAY CSD,97.0,3.0,20495.72,451.0,243.0,208.0,1.3,56603.8,""
CHATHAM CSD,94.0,4.0,25024.45,971.0,491.0,480.0,13.0,80405.75,""
CHAUTAUQUA LAKE CSD,85.0,3.0,23416.94,706.0,328.0,378.0,5.1,57115.57,""
CHAZY UFSD,94.0,6.0,19209.93,455.0,234.0,221.0,5.7,63384.5,""
CHEEKTOWAGA CSD,87.0,7.0,16544.11,2138.0,1109.0,1029.0,60.4,47551.0,Yes
CHEEKTOWAGA-MARYVALE UFSD,87.0,5.0,15434.4,2087.0,1081.0,1006.0,27.8,58342.0,No
CHEEKTOWAGA-SLOAN UFSD,86.0,5.0,19755.19,1232.0,641.0,591.0,23.5,47314.75,Yes
CHENANGO FORKS CSD,93.0,0.0,18273.44,1340.0,727.0,613.0,7.8,50343.4,""
CHENANGO VALLEY CSD,91.0,5.0,18101.82,1648.0,841.0,807.0,10.7,47896.4,""
CHERRY VALLEY-SPRINGFIELD CSD,79.0,3.0,24150.04,422.0,219.0,203.0,2.1,57554.75,""
CHESTER UFSD,90.0,1.0,24039.21,986.0,489.0,497.0,53.5,101327.0,""
CHITTENANGO CSD,90.0,3.0,17253.94,1904.0,971.0,933.0,8.4,78756.5,No
CHURCHVILLE-CHILI CSD,91.0,2.0,15793.94,3751.0,1944.0,1807.0,23.1,74812.2,No
CINCINNATUS CSD,90.0,5.0,21748.43,514.0,239.0,275.0,2.3,54469.18,""
CLARENCE CSD,95.0,2.0,15613.47,4228.0,2170.0,2058.0,12.1,89974.14,No
CLARKSTOWN CSD,95.0,1.0,22878.82,7821.0,4098.0,3723.0,42.0,124982.34,No
CLEVELAND HILL UFSD,85.0,6.0,18076.74,1254.0,634.0,620.0,52.4,53987.0,""
CLIFTON-FINE CSD,77.0,0.0,28678.72,276.0,134.0,142.0,8.3,46749.0,""
CLINTON CSD,96.0,1.0,17575.94,1258.0,649.0,609.0,9.2,71630.0,""
CLYDE-SAVANNAH CSD,78.0,17.0,21555.55,754.0,385.0,369.0,15.1,53507.6,""
CLYMER CSD,93.0,0.0,21086.05,414.0,221.0,193.0,9.4,53945.6,""
COBLESKILL-RICHMONDVILLE CSD,93.0,3.0,20054.26,1639.0,878.0,761.0,10.0,57302.22,Yes
COHOES CITY SD,84.0,11.0,17770.18,1873.0,943.0,930.0,28.9,60444.0,Yes
COLD SPRING HARBOR CSD,99.0,0.0,33287.48,1635.0,838.0,797.0,13.9,140247.0,""
COLTON-PIERREPONT CSD,94.0,0.0,22481.64,339.0,169.0,170.0,0.6,56456.83,""
COMMACK UFSD,97.0,0.0,26170.47,5875.0,3018.0,2857.0,23.3,122854.0,No
CONNETQUOT CSD,95.0,2.0,28395.35,5509.0,2786.0,2723.0,26.7,108287.0,No
COOPERSTOWN CSD,99.0,1.0,19740.77,818.0,413.0,405.0,8.8,63359.0,""
COPENHAGEN CSD,100.0,0.0,18762.25,393.0,212.0,181.0,7.6,61598.0,""
COPIAGUE UFSD,89.0,7.0,18858.63,4965.0,2443.0,2522.0,87.7,99989.25,No
CORINTH CSD,86.0,6.0,15265.53,1139.0,586.0,553.0,4.8,77271.8,""
CORNING CITY SD,88.0,6.0,19702.53,4551.0,2359.0,2192.0,13.5,64176.91,Yes
CORNWALL CSD,96.0,3.0,18883.36,3102.0,1632.0,1470.0,35.5,112038.0,Yes
CORTLAND CITY SD,80.0,7.0,18587.04,2132.0,1092.0,1040.0,15.1,61464.0,No
COXSACKIE-ATHENS CSD,82.0,7.0,20955.92,1242.0,679.0,563.0,15.5,68206.25,No
CROTON-HARMON UFSD,96.0,0.0,23468.52,1584.0,820.0,764.0,28.7,111839.34,""
CROWN POINT CSD,95.0,5.0,20638.87,286.0,135.0,151.0,0.7,55082.75,""
CUBA-RUSHFORD CSD,92.0,0.0,19895.03,780.0,433.0,347.0,5.0,53610.27,""
