ZipCodes,MedianHouseholdIncome
06390,113454
10001,166167
10002,70204
10003,211756
10004,325028
10005,218441
10006,226459
10007,409624
10009,108017
10010,214151
10011,210553
10012,180973
10013,294915
10014,217624
10016,181643
10017,184005
10018,187702
10019,177809
10020,
10021,237726
10022,257537
10023,226093
10024,267771
10025,176758
10026,109506
10027,95040
10028,225593
10029,71046
10030,77671
10031,81495
10032,75308
10033,85288
10034,78544
10035,58682
10036,139050
10037,69346
10038,155311
10039,60694
10040,72654
10044,150655
10065,264139
10069,232218
10075,241307
10103,
10110,
10111,
10112,
10115,
10119,
10128,206466
10152,
10153,
10154,
10162,147342
10165,
10167,
10168,
10169,
10170,
10171,
10172,
10173,
10174,
10177,
10199,
10271,
10278,
10279,
10280,251759
10282,393072
10301,99556
10302,88283
10303,88661
10304,98456
10305,99302
10306,104057
10307,135651
10308,121935
10309,126007
10310,101813
10311,
10312,118146
10314,109918
10451,50993
10452,40997
10453,44957
10454,41202
10455,44051
10456,46124
10457,48599
10458,49919
10459,47731
10460,49926
10461,79026
10462,70330
10463,87212
10464,121430
10465,94444
10466,77651
10467,55988
10468,50877
10469,85371
10470,84976
10471,137185
10472,53992
10473,66325
10474,43048
10475,63862
10501,224137
10502,238206
10503,176757
10504,327734
10505,211354
10506,326962
10507,161886
10509,130893
10510,271732
10511,142140
10512,120572
10514,328379
10516,151301
10517,113150
10518,235456
10519,160840
10520,157593
10522,196619
10523,130024
10524,148292
10526,273431
10527,197365
10528,207418
10530,141248
10532,144280
10533,238039
10535,159535
10536,246529
10537,107796
10538,291256
10541,136810
10543,182293
10545,
10546,267357
10547,137879
10548,118367
10549,173220
10550,64046
10552,102401
10553,98814
10560,177313
10562,122801
10566,83892
10567,164871
10570,198979
10573,139027
10576,315237
10577,326943
10578,229387
10579,152422
10580,318770
10583,311238
10588,129829
10589,151135
10590,198694
10591,147702
10594,182791
10595,148181
10596,100864
10597,270076
10598,153734
10601,125938
10603,128927
10604,159821
10605,166510
10606,127182
10607,160887
10701,77004
10703,94962
10704,101070
10705,84705
10706,217163
10707,160879
10708,190835
10709,168352
10710,107101
10801,100614
10803,251013
10804,253155
10805,102512
10901,124034
10910,
10911,
10913,193394
10914,86301
10915,
10916,129529
10917,181181
10918,128176
10919,100462
10920,151653
10921,110763
10922,107148
10923,112071
10924,123936
10925,98407
10926,104889
10927,89444
10928,94236
10930,133524
10931,90047
10932,
10933,99250
10940,88840
10941,98671
10950,95494
10952,81616
10953,
10954,130104
10956,173129
10958,110324
10960,149622
10962,158187
10963,106162
10964,230562
10965,140428
10968,147394
10969,141872
10970,108973
10973,129084
10974,118324
10975,73786
10976,105938
10977,92260
10979,
10980,123387
10983,178863
10984,169572
10985,162647
10986,184493
10987,191883
10988,107444
10989,138464
10990,129003
10992,110460
10993,67866
10994,169947
10996,125932
10998,111532
11001,146902
11003,120800
11004,124334
11005,450531
11010,128233
11020,210336
11021,166860
11023,179424
11024,200794
11030,340827
11040,163186
11042,
11050,210400
11096,82488
11101,123847
11102,104415
11103,98170
11104,94487
11105,107029
11106,98884
11109,195918
11201,198854
11203,76911
11204,75987
11205,104376
11206,70179
11207,59078
11208,64676
11209,108104
11210,97562
11211,128607
11212,48008
11213,74892
11214,81908
11215,197323
11216,108890
11217,182618
11218,105235
11219,64234
11220,75144
11221,88596
11222,122507
11223,84634
11224,59226
11225,91135
11226,80354
11228,103981
11229,89740
11230,85020
11231,169055
11232,98875
11233,71104
11234,109876
11235,83018
11236,89086
11237,76385
11238,136836
11239,43455
11351,
11354,67230
11355,66479
11356,85304
11357,106791
11358,94084
11359,
11360,111102
11361,108796
11362,110938
11363,141278
11364,103613
11365,87247
11366,111591
11367,85658
11368,71465
11369,78247
11370,91315
11371,
11372,82871
11373,73043
11374,93752
11375,116806
11377,79252
