DistrictName,MedianIncome
NYC GEOG DIST # 1 - MANHATTAN,77936.0
NYC GEOG DIST # 2 - MANHATTAN,127275.96153846153
NYC GEOG DIST # 3 - MANHATTAN,104303.66666666667
NYC GEOG DIST # 4 - MANHATTAN,31104.5
NYC GEOG DIST # 5 - MANHATTAN,50067.0
NYC GEOG DIST # 6 - MANHATTAN,55738.5
NYC GEOG DIST # 7 - BRONX,36670.8
NYC GEOG DIST # 8 - BRONX,44250.0
NYC GEOG DIST # 9 - BRONX,32099.75
NYC GEOG DIST #10 - BRONX,47554.0
NYC GEOG DIST #11 - BRONX,59079.6
NYC GEOG DIST #12 - BRONX,36342.333333333336
NYC GEOG DIST #13 - BROOKLYN,100631.6
NYC GEOG DIST #14 - BROOKLYN,70139.6
NYC GEOG DIST #15 - BROOKLYN,95562.125
NYC GEOG DIST #16 - BROOKLYN,54048.0
NYC GEOG DIST #17 - BROOKLYN,62593.0
NYC GEOG DIST #18 - BROOKLYN,53702.333333333336
NYC GEOG DIST #19 - BROOKLYN,39264.333333333336
NYC GEOG DIST #20 - BROOKLYN,63385.71428571428
NYC GEOG DIST #21 - BROOKLYN,53230.833333333336
NYC GEOG DIST #22 - BROOKLYN,67778.14285714286
NYC GEOG DIST #23 - BROOKLYN,38831.5
NYC GEOG DIST #24 - QUEENS,73961.0
NYC GEOG DIST #25 - QUEENS,67681.3
NYC GEOG DIST #26 - QUEENS,89223.33333333333
NYC GEOG DIST #27 - QUEENS,74852.76923076923
NYC GEOG DIST #28 - QUEENS,72971.66666666667
NYC GEOG DIST #29 - QUEENS,80180.09090909091
NYC GEOG DIST #30 - QUEENS,72604.27272727272
NYC GEOG DIST #31 - STATEN ISLAND,86134.58333333333
NYC GEOG DIST #32 - BROOKLYN,52066.0
