,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
0,ADDISON,90,3,23833.02,976,503,473,3.2,71205.0,
1,ADIRONDACK,92,5,14013.61,1145,575,570,1.7,73795.0,No
2,AFTON,83,10,24128.02,507,262,245,8.9,64191.0,
3,AKRON,95,3,17552.56,1334,667,667,17.5,93480.0,
4,ALBANY,71,12,22382.65,8610,4444,4166,80.2,80885.0,No
5,ALBION,85,11,15094.95,1781,887,894,25.5,71995.0,
6,ALDEN,96,1,16574.76,1581,783,798,4.2,100168.0,No
7,ALEXANDER,95,2,19435.51,787,378,409,6.5,82440.0,
8,ALEXANDRIA,88,5,21219.66,472,232,240,5.3,85994.0,
9,ALFRED-ALMOND,100,0,18461.16,601,329,272,9.7,62630.0,
10,ALLEGANY-LIMESTONE,87,4,16367.35,1103,574,529,8.1,63165.0,
11,ALTMAR-PARISH-WILLIAMSTOWN,82,9,23307.26,1067,537,530,6.4,72289.0,
12,AMAGANSETT,—,—,97583.8,64,30,34,39.1,171943.0,
13,AMHERST,93,1,15755.19,2925,1516,1409,33.1,93021.0,No
14,AMITYVILLE,85,7,23455.51,2997,1594,1403,95.4,129828.0,No
15,AMSTERDAM,84,6,17207.22,3586,1838,1748,59.3,82396.0,No
16,ANDES,100,0,38857.67,65,35,30,10.8,77281.0,
17,ANDOVER,89,4,24277.59,278,127,151,2.9,63877.0,
18,ARDSLEY,97,0,25178.37,2325,1257,1068,42.5,214771.0,
19,ARGYLE,86,11,23262.18,463,233,230,5.4,77744.0,
20,ARKPORT,100,0,19505.93,459,241,218,6.1,65849.0,
21,ARLINGTON,91,3,21035.77,7963,3966,3997,34.4,115545.0,No
22,ATTICA,91,2,20326.08,1160,574,586,4.7,81399.0,
23,AUBURN,76,12,15909.72,4106,2124,1982,23.0,71023.0,Yes
24,AUSABLEVALLEY,88,11,23515.55,1112,561,551,3.4,82371.0,
25,AVERILLPARK,94,3,18170.81,2663,1336,1327,8.7,95636.0,
26,AVOCA,95,3,23182.35,421,216,205,6.9,63872.0,
27,AVON,93,2,15986.52,1007,518,489,11.9,92887.0,
28,BABYLON,96,0,29037.85,1555,787,768,24.2,130881.0,
29,BAINBRIDGE-GUILFORD,96,0,18604.94,773,394,379,9.6,63183.0,
30,BALDWIN,95,0,24058.03,4477,2360,2117,87.9,123814.0,Yes
31,BALDWINSVILLE,93,4,16551.37,5390,2816,2574,12.4,83202.0,No
32,BALLSTONSPA,89,6,17822.98,4064,2105,1959,8.3,108290.0,
33,BARKER,92,2,20097.18,699,365,334,12.4,74910.0,
