District,School Code,School Name,School Type,Weighted Register Allocation,Weighted Register Allocation If FSF Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Budget Allocation,FSF as % of Total Budget Allocation,Non-FSF Budget Allocations
01,01M015,P.S. 015 Roberto Clemente,Elementary School,"$   1,724,894","$   1,724,895",$   - 0,100.00%,"$   360,168","$   596,784","$   2,681,846","$   2,681,846",$   - 0,"$   4,966,456",54%,"$   2,284,610"
01,01M019,P.S. 019 Asher Levy,Elementary School,"$   2,005,660","$   2,214,633","$   208,973",90.56%,"$   360,168","$   467,122","$   2,832,950","$   3,041,923","$   255,674","$   7,977,207",36%,"$   5,144,258"
01,01M020,P.S. 020 Anna Silver,Elementary School,"$   3,799,928","$   4,219,381","$   419,452",90.06%,"$   360,168","$   910,955","$   5,071,051","$   5,490,504","$   513,191","$   9,114,056",56%,"$   4,043,005"
01,01M034,P.S. 034 Franklin D. Roosevelt,K-8 School,"$   3,344,103","$   3,306,004",$   - 0,101.15%,"$   360,168","$   734,240","$   4,438,510","$   4,400,411",$   - 0,"$   7,329,616",61%,"$   2,891,106"
01,01M063,The STAR Academy - P.S.63,Elementary School,"$   2,234,854","$   2,215,340",$   - 0,100.88%,"$   360,168","$   551,865","$   3,146,886","$   3,127,373",$   - 0,"$   5,840,771",54%,"$   2,693,885"
01,01M064,P.S. 064 Robert Simon,Elementary School,"$   1,853,586","$   2,058,194","$   204,608",90.06%,"$   360,168","$   498,013","$   2,711,767","$   2,916,375","$   250,334","$   5,430,962",50%,"$   2,719,196"
01,01M110,P.S. 110 Florence Nightingale,Elementary School,"$   2,617,243","$   2,885,650","$   268,407",90.70%,"$   360,168","$   639,399","$   3,616,809","$   3,885,216","$   328,390","$   5,527,689",65%,"$   1,910,879"
01,01M134,P.S. 134 Henrietta Szold,Elementary School,"$   2,571,750","$   2,589,915","$   18,166",99.30%,"$   360,168","$   700,067","$   3,631,984","$   3,650,150","$   22,226","$   7,279,365",50%,"$   3,647,380"
01,01M140,P.S. 140 Nathan Straus,K-8 School,"$   3,712,238","$   4,072,599","$   360,362",91.15%,"$   360,168","$   948,382","$   5,020,788","$   5,381,149","$   440,896","$   8,402,789",60%,"$   3,382,001"
01,01M142,P.S. 142 Amalia Castro,Elementary School,"$   2,823,257","$   3,134,901","$   311,644",90.06%,"$   360,168","$   645,400","$   3,828,825","$   4,140,469","$   381,290","$   7,968,809",48%,"$   4,139,985"
01,01M184,P.S. 184M Shuang Wen,K-8 School,"$   5,756,428","$   6,362,965","$   606,537",90.47%,"$   360,168","$   1,220,135","$   7,336,730","$   7,943,268","$   742,086","$   11,202,262",65%,"$   3,865,532"
01,01M188,P.S. 188 The Island School,K-8 School,"$   4,350,005","$   4,350,005",$   - 0,100.00%,"$   360,168","$   978,726","$   5,688,899","$   5,688,899",$   - 0,"$   10,024,601",57%,"$   4,335,703"
01,01M292,Orchard Collegiate Academy,Senior High School,"$   2,473,858","$   2,473,858",$   1,100.00%,"$   360,168","$   640,153","$   3,474,178","$   3,474,178",$   1,"$   4,617,586",75%,"$   1,143,408"
01,01M315,The East Village Community School,Elementary School,"$   2,593,238","$   2,574,553",$   - 0,100.73%,"$   360,168","$   625,525","$   3,578,931","$   3,560,245",$   - 0,"$   5,302,526",67%,"$   1,723,596"
01,01M332,University Neighborhood Middle School,Middle/Junior High School,"$   2,485,385","$   2,628,840","$   143,455",94.54%,"$   360,168","$   604,313","$   3,449,866","$   3,593,321","$   175,514","$   6,820,473",51%,"$   3,370,607"
01,01M361,The Children's Workshop School,Elementary School,"$   2,895,294","$   2,961,980","$   66,686",97.75%,"$   360,168","$   759,914","$   4,015,376","$   4,082,062","$   81,589","$   6,216,341",65%,"$   2,200,966"
01,01M363,Neighborhood School,Elementary School,"$   2,285,274","$   2,537,532","$   252,258",90.06%,"$   360,168","$   625,715","$   3,271,157","$   3,523,415","$   308,633","$   5,272,201",62%,"$   2,001,044"
01,01M364,Earth School,Elementary School,"$   2,842,240","$   3,151,525","$   309,285",90.19%,"$   360,168","$   678,382","$   3,880,790","$   4,190,075","$   378,404","$   6,607,905",59%,"$   2,727,115"
01,01M378,School for Global Leaders,Middle/Junior High School,"$   2,268,381","$   2,478,604","$   210,223",91.52%,"$   360,168","$   586,801","$   3,215,350","$   3,425,573","$   257,204","$   4,488,145",72%,"$   1,272,795"
01,01M448,University Neighborhood High School,Senior High School,"$   4,136,128","$   4,520,492","$   384,364",91.50%,"$   360,168","$   937,448","$   5,433,743","$   5,818,107","$   470,262","$   7,695,860",71%,"$   2,262,117"
01,01M450,East Side Community School,Junior-Senior High School,"$   6,255,019","$   6,939,126","$   684,108",90.14%,"$   360,168","$   1,506,063","$   8,121,249","$   8,805,357","$   836,992","$   11,080,634",73%,"$   2,959,385"
01,01M458,Forsyth Satellite Academy,Senior High School,"$   2,049,593","$   2,275,836","$   226,243",90.06%,"$   360,168","$   507,004","$   2,916,765","$   3,143,008","$   276,804","$   3,768,373",77%,"$   851,608"
01,01M509,Marta Valle High School,Senior High School,"$   933,151","$   1,036,155","$   103,004",90.06%,"$   360,168","$   290,879","$   1,584,199","$   1,687,202","$   126,023","$   2,409,263",66%,"$   825,064"
01,01M515,Lower East Side Preparatory High School,Senior High School,"$   5,900,489","$   6,551,810","$   651,321",90.06%,"$   360,168","$   1,206,901","$   7,467,558","$   8,118,879","$   796,878","$   8,942,428",84%,"$   1,474,870"
01,01M539,"New Explorations into Science, Technology and Math High School",K-12 School,"$   12,900,605","$   14,093,549","$   1,192,944",91.54%,"$   360,168","$   2,971,608","$   16,232,380","$   17,425,325","$   1,459,543","$   18,722,669",87%,"$   2,490,289"
01,01M650,Cascades High School,Senior High School,"$   1,947,067","$   2,144,048","$   196,981",90.81%,"$   360,168","$   538,310","$   2,845,544","$   3,042,526","$   241,002","$   3,397,198",84%,"$   551,653"
01,01M696,Bard High School Early College,Senior High School,"$   5,453,282","$   5,806,686","$   353,404",93.91%,"$   360,168","$   1,321,092","$   7,134,542","$   7,487,946","$   432,383","$   7,810,629",91%,"$   676,087"
01,01M839,Tompkins Square Middle School,Middle/Junior High School,"$   3,487,925","$   3,872,938","$   385,013",90.06%,"$   360,168","$   846,935","$   4,695,028","$   5,080,041","$   471,056","$   6,374,911",74%,"$   1,679,882"
02,02M001,P.S. 001 Alfred E. Smith,Elementary School,"$   2,220,436","$   2,465,537","$   245,101",90.06%,"$   360,168","$   549,073","$   3,129,677","$   3,374,778","$   299,876","$   6,416,806",49%,"$   3,287,129"
02,02M002,P.S. 002 Meyer London,Elementary School,"$   3,976,996","$   4,415,993","$   438,997",90.06%,"$   360,168","$   1,038,807","$   5,375,971","$   5,814,968","$   537,104","$   10,503,721",51%,"$   5,127,750"
02,02M003,P.S. 003 Charrette School,Elementary School,"$   5,086,775","$   5,648,275","$   561,500",90.06%,"$   360,168","$   1,191,899","$   6,638,842","$   7,200,342","$   686,984","$   11,017,631",60%,"$   4,378,789"
02,02M006,P.S. 006 Lillie D. Blake,Elementary School,"$   4,045,511","$   4,492,071","$   446,560",90.06%,"$   360,168","$   974,771","$   5,380,450","$   5,827,010","$   546,357","$   8,985,365",60%,"$   3,604,916"
02,02M011,P.S. 011 William T. Harris,Elementary School,"$   6,373,360","$   7,071,560","$   698,199",90.13%,"$   360,168","$   1,505,752","$   8,239,280","$   8,937,480","$   854,232","$   11,926,986",69%,"$   3,687,705"
02,02M033,P.S. 033 Chelsea Prep,Elementary School,"$   4,343,051","$   4,822,456","$   479,404",90.06%,"$   360,168","$   965,504","$   5,668,723","$   6,148,127","$   586,541","$   8,810,839",64%,"$   3,142,116"
02,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary School,"$   4,870,479","$   5,379,747","$   509,267",90.53%,"$   360,168","$   1,044,117","$   6,274,764","$   6,784,031","$   623,078","$   9,124,281",69%,"$   2,849,517"
02,02M041,P.S. 041 Greenwich Village,Elementary School,"$   4,417,715","$   4,903,215","$   485,500",90.10%,"$   360,168","$   1,034,504","$   5,812,387","$   6,297,886","$   593,999","$   9,572,082",61%,"$   3,759,695"
02,02M042,P.S. 042 Benjamin Altman,Elementary School,"$   4,611,008","$   5,119,991","$   508,982",90.06%,"$   360,168","$   1,100,497","$   6,071,672","$   6,580,655","$   622,729","$   12,068,289",50%,"$   5,996,617"
02,02M047,47 The American Sign Language and English Secondary School,Senior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$   5,570,811",N/A,"$   5,570,811"
02,02M051,P.S. 051 Elias Howe,Elementary School,"$   3,598,916","$   3,940,899","$   341,983",91.32%,"$   360,168","$   857,170","$   4,816,254","$   5,158,237","$   418,409","$   8,961,819",54%,"$   4,145,565"
02,02M059,P.S. 059 Beekman Hill International,Elementary School,"$   4,598,526","$   4,973,233","$   374,708",92.47%,"$   360,168","$   1,160,323","$   6,119,016","$   6,493,724","$   458,448","$   8,413,101",73%,"$   2,294,085"
02,02M077,P.S. 77 Lower Lab School,Elementary School,"$   2,210,290","$   2,450,772","$   240,482",90.19%,"$   360,168","$   564,529","$   3,134,986","$   3,375,468","$   294,225","$   4,331,933",72%,"$   1,196,947"
02,02M089,P.S. 89,Elementary School,"$   3,194,128","$   3,508,751","$   314,623",91.03%,"$   360,168","$   854,372","$   4,408,668","$   4,723,291","$   384,935","$   6,883,152",64%,"$   2,474,485"
02,02M104,J.H.S. 104 Simon Baruch,Middle/Junior High School,"$   8,896,769","$   9,878,832","$   982,063",90.06%,"$   360,168","$   2,027,178","$   11,284,114","$   12,266,177","$   1,201,534","$   14,331,603",79%,"$   3,047,488"
02,02M111,P.S. 111 Adolph S. Ochs,Elementary School,"$   3,286,305","$   3,600,262","$   313,957",91.28%,"$   360,168","$   814,192","$   4,460,665","$   4,774,622","$   384,120","$   8,711,185",51%,"$   4,250,521"
02,02M114,East Side Middle School,Middle/Junior High School,"$   3,692,296","$   4,089,031","$   396,735",90.30%,"$   360,168","$   909,199","$   4,961,663","$   5,358,398","$   485,397","$   6,071,038",82%,"$   1,109,375"
02,02M116,P.S. 116 Mary Lindley Murray,Elementary School,"$   3,434,843","$   3,813,995","$   379,152",90.06%,"$   360,168","$   890,027","$   4,685,038","$   5,064,190","$   463,885","$   8,246,101",57%,"$   3,561,063"
02,02M124,P.S. 124 Yung Wing,Elementary School,"$   4,786,765","$   5,315,147","$   528,382",90.06%,"$   360,168","$   1,144,922","$   6,291,855","$   6,820,237","$   646,465","$   9,757,207",64%,"$   3,465,352"
02,02M126,P.S. 126 Jacob August Riis,K-8 School,"$   6,017,495","$   6,681,732","$   664,237",90.06%,"$   360,168","$   1,504,528","$   7,882,191","$   8,546,427","$   812,680","$   12,294,378",64%,"$   4,412,187"
02,02M130,P.S. 130 Hernando De Soto,Elementary School,"$   5,972,929","$   6,632,246","$   659,317",90.06%,"$   360,168","$   1,391,294","$   7,724,391","$   8,383,708","$   806,661","$   11,922,348",65%,"$   4,197,957"
02,02M131,M.S. 131,Middle/Junior High School,"$   3,042,814","$   3,378,693","$   335,880",90.06%,"$   360,168","$   836,604","$   4,239,586","$   4,575,465","$   410,942","$   6,921,341",61%,"$   2,681,756"
02,02M135,The Urban Assembly School for Emergency Management,Senior High School,"$   2,756,789","$   2,756,790",$   1,100.00%,"$   360,168","$   730,755","$   3,847,712","$   3,847,713",$   1,"$   4,729,793",81%,"$   882,081"
02,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Senior High School,"$   4,758,178","$   4,758,178",$   - 0,100.00%,"$   360,168","$   1,155,117","$   6,273,462","$   6,273,463",$   - 0,"$   8,196,462",77%,"$   1,923,000"
02,02M150,P.S. 150,Elementary School,"$   1,113,898","$   1,232,833","$   118,935",90.35%,"$   360,168","$   295,141","$   1,769,206","$   1,888,141","$   145,515","$   2,648,890",67%,"$   879,683"
