DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students
ADDISON CSD,90.0,3.0,23833.02,976,503,473,3.2
ADIRONDACK CSD,92.0,5.0,14013.61,1145,575,570,1.7
AFTON CSD,83.0,10.0,24128.02,507,262,245,8.9
AKRON CSD,95.0,3.0,17552.56,1334,667,667,17.5
ALBANY CITY SD,71.0,12.0,22382.65,8610,4444,4166,80.2
ALBION CSD,85.0,11.0,15094.95,1781,887,894,25.5
ALDEN CSD,96.0,1.0,16574.76,1581,783,798,4.2
ALEXANDER CSD,95.0,2.0,19435.51,787,378,409,6.5
ALEXANDRIA CSD,88.0,5.0,21219.66,472,232,240,5.3
ALFRED-ALMOND CSD,100.0,0.0,18461.16,601,329,272,9.7
ALLEGANY-LIMESTONE CSD,87.0,4.0,16367.35,1103,574,529,8.1
ALTMAR-PARISH-WILLIAMSTOWN CSD,82.0,9.0,23307.26,1067,537,530,6.4
AMAGANSETT UFSD,,,97583.8,64,30,34,39.1
AMHERST CSD,93.0,1.0,15755.19,2925,1516,1409,33.1
AMITYVILLE UFSD,85.0,7.0,23455.51,2997,1594,1403,95.4
AMSTERDAM CITY SD,84.0,6.0,17207.22,3586,1838,1748,59.3
ANDES CSD,100.0,0.0,38857.67,65,35,30,10.8
ANDOVER CSD,89.0,4.0,24277.59,278,127,151,2.9
ARDSLEY UFSD,97.0,0.0,25178.37,2325,1257,1068,42.5
ARGYLE CSD,86.0,11.0,23262.18,463,233,230,5.4
ARKPORT CSD,100.0,0.0,19505.93,459,241,218,6.1
ARLINGTON CSD,91.0,3.0,21035.77,7963,3966,3997,34.4
ATTICA CSD,91.0,2.0,20326.08,1160,574,586,4.7
AUBURN CITY SD,76.0,12.0,15909.72,4106,2124,1982,23.0
AUSABLE VALLEY CSD,88.0,11.0,23515.55,1112,561,551,3.4
AVERILL PARK CSD,94.0,3.0,18170.81,2663,1336,1327,8.7
AVOCA CSD,95.0,3.0,23182.35,421,216,205,6.9
AVON CSD,93.0,2.0,15986.52,1007,518,489,11.9
BABYLON UFSD,96.0,0.0,29037.85,1555,787,768,24.2
BAINBRIDGE-GUILFORD CSD,96.0,0.0,18604.94,773,394,379,9.6
BALDWIN UFSD,95.0,0.0,24058.03,4477,2360,2117,87.9
BALDWINSVILLE CSD,93.0,4.0,16551.37,5390,2816,2574,12.4
BALLSTON SPA CSD,89.0,6.0,17822.98,4064,2105,1959,8.3
BARKER CSD,92.0,2.0,20097.18,699,365,334,12.4
BATAVIA CITY SD,94.0,2.0,19357.91,2190,1156,1034,27.9
BATH CSD,90.0,6.0,14747.3,1419,722,697,4.0
BAY SHORE UFSD,87.0,4.0,23456.92,5848,2990,2858,72.2
BAYPORT-BLUE POINT UFSD,98.0,0.0,30894.87,2080,1047,1033,15.0
BEACON CITY SD,88.0,6.0,20683.23,2723,1358,1365,55.3
BEAVER RIVER CSD,91.0,1.0,15124.46,871,456,415,2.6
BEDFORD CSD,86.0,4.0,29882.43,3902,1993,1909,48.4
BEEKMANTOWN CSD,94.0,3.0,15225.58,1915,997,918,5.5
BELFAST CSD,81.0,0.0,22753.52,322,167,155,4.0
BELLEVILLE-HENDERSON CSD,92.0,0.0,16968.41,463,240,223,8.4
BELLMORE UFSD,,,28180.7,946,475,471,23.2
BELLMORE-MERRICK CENTRAL SCHOOL DISTRICT,97.0,0.0,25413.48,5272,2672,2600,21.7
BEMUS POINT CSD,98.0,2.0,17784.12,621,331,290,3.7
BERKSHIRE UFSD,,,,83,72,11,61.4
BERLIN CSD,82.0,13.0,24974.93,673,349,324,3.6
BERNE-KNOX-WESTERLO CSD,92.0,1.0,24220.44,716,366,350,6.0
BETHLEHEM CSD,94.0,3.0,17185.56,4336,2205,2131,16.0
BETHPAGE UFSD,95.0,1.0,26750.9,2945,1455,1490,37.3
BINGHAMTON CITY SD,73.0,16.0,20117.55,4946,2535,2411,58.3
BLIND BROOK-RYE UFSD,99.0,0.0,27396.38,1364,688,676,22.3
BOLIVAR-RICHBURG CSD,94.0,5.0,21660.27,697,385,312,3.0
BOLTON CSD,86.0,0.0,38860.88,179,91,88,10.1
BOQUET VALLEY CSD,92.0,8.0,29438.51,410,220,190,2.4
BRADFORD CSD,97.0,3.0,25011.05,237,118,119,2.5
BRASHER FALLS CSD,86.0,8.0,18091.67,964,479,485,6.2
BRENTWOOD UFSD,76.0,12.0,19390.0,18826,9652,9174,97.1
BREWSTER CSD,88.0,6.0,26271.8,3066,1616,1450,49.2
BRIARCLIFF MANOR UFSD,97.0,1.0,30106.31,1390,732,658,32.4
BRIDGEHAMPTON UFSD,86.0,7.0,60852.77,209,109,100,77.5
BRIGHTON CSD,95.0,1.0,18309.26,3518,1766,1752,32.0
BROADALBIN-PERTH CSD,90.0,6.0,16438.42,1681,853,828,5.1
BROCKPORT CSD,91.0,2.0,19153.63,3168,1625,1543,20.5
BROCTON CSD,88.0,7.0,22092.47,509,231,278,18.1
BRONXVILLE UFSD,97.0,0.0,25738.45,1642,863,779,19.9
BROOKFIELD CSD,82.0,14.0,24173.83,207,94,113,1.4
BROOKHAVEN-COMSEWOGUE UFSD,92.0,4.0,22056.41,3683,1813,1870,41.8
BRUNSWICK CSD (BRITTONKILL),88.0,4.0,17579.17,1149,585,564,10.5
BRUSHTON-MOIRA CSD,83.0,5.0,20707.52,761,400,361,2.8
BUFFALO CITY SD,76.0,12.0,18959.77,30674,15520,15154,81.0
BURNT HILLS-BALLSTON LAKE CSD,96.0,2.0,17703.0,3082,1562,1520,7.9
BYRAM HILLS CSD,99.0,0.0,34560.05,2274,1159,1115,17.1
BYRON-BERGEN CSD,98.0,1.0,21604.84,828,385,443,11.5
CAIRO-DURHAM CSD,92.0,5.0,21073.84,1179,601,578,18.7
CALEDONIA-MUMFORD CSD,97.0,1.0,18494.78,755,367,388,6.8
CAMBRIDGE CSD,93.0,6.0,20247.7,823,420,403,7.8
CAMDEN CSD,86.0,6.0,19020.69,1963,983,980,6.1
CAMPBELL-SAVONA CSD,95.0,3.0,20618.32,791,373,418,5.4
CANAJOHARIE CSD,94.0,4.0,21495.74,818,416,402,6.2
CANANDAIGUA CITY SD,92.0,4.0,17678.85,3357,1720,1637,12.7
CANASERAGA CSD,71.0,18.0,24196.83,199,94,105,5.5
CANASTOTA CSD,84.0,7.0,17657.1,1275,645,630,10.0
CANDOR CSD,93.0,3.0,19391.18,718,354,364,7.2
CANISTEO-GREENWOOD CSD,93.0,4.0,22874.26,935,495,440,4.3
CANTON CSD,82.0,1.0,20152.15,1171,610,561,7.3
CARLE PLACE UFSD,98.0,0.0,32591.09,1358,712,646,35.4
CARMEL CSD,92.0,3.0,27298.65,3979,2034,1945,37.6
CARTHAGE CSD,89.0,5.0,17149.15,3065,1602,1463,25.9
CASSADAGA VALLEY CSD,88.0,7.0,20862.54,799,422,377,6.0
CATO-MERIDIAN CSD,89.0,5.0,18088.09,860,449,411,8.1
CATSKILL CSD,91.0,4.0,24088.35,1350,668,682,32.9
CATTARAUGUS-LITTLE VALLEY CSD,93.0,4.0,19362.54,858,431,427,6.9
CAZENOVIA CSD,94.0,2.0,17708.25,1360,727,633,6.0
CENTER MORICHES UFSD,93.0,1.0,24593.36,1513,788,725,26.8
CENTRAL ISLIP UFSD,88.0,1.0,21656.92,7571,3929,3642,96.1
CENTRAL SQUARE CSD,87.0,8.0,17310.54,3580,1827,1753,6.1
CENTRAL VALLEY CSD AT ILION-MOHAWK,87.0,5.0,15522.11,2082,1025,1057,9.4
CHAPPAQUA CSD,99.0,0.0,29069.23,3625,1870,1755,25.9
CHARLOTTE VALLEY CSD,0.0,4.0,19819.35,382,202,180,7.3
CHATEAUGAY CSD,97.0,3.0,20495.72,451,243,208,1.3
CHATHAM CSD,94.0,4.0,25024.45,971,491,480,13.0
CHAUTAUQUA LAKE CSD,85.0,3.0,23416.94,706,328,378,5.1
CHAZY UFSD,94.0,6.0,19209.93,455,234,221,5.7
CHEEKTOWAGA CSD,87.0,7.0,16544.11,2138,1109,1029,60.4
CHEEKTOWAGA-MARYVALE UFSD,87.0,5.0,15434.4,2087,1081,1006,27.8
CHEEKTOWAGA-SLOAN UFSD,86.0,5.0,19755.19,1232,641,591,23.5
CHENANGO FORKS CSD,93.0,0.0,18273.44,1340,727,613,7.8
CHENANGO VALLEY CSD,91.0,5.0,18101.82,1648,841,807,10.7
CHERRY VALLEY-SPRINGFIELD CSD,79.0,3.0,24150.04,422,219,203,2.1
CHESTER UFSD,90.0,1.0,24039.21,986,489,497,53.5
CHITTENANGO CSD,90.0,3.0,17253.94,1904,971,933,8.4
CHURCHVILLE-CHILI CSD,91.0,2.0,15793.94,3751,1944,1807,23.1
CINCINNATUS CSD,90.0,5.0,21748.43,514,239,275,2.3
CLARENCE CSD,95.0,2.0,15613.47,4228,2170,2058,12.1
CLARKSTOWN CSD,95.0,1.0,22878.82,7821,4098,3723,42.0
CLEVELAND HILL UFSD,85.0,6.0,18076.74,1254,634,620,52.4
CLIFTON-FINE CSD,77.0,0.0,28678.72,276,134,142,8.3
CLINTON CSD,96.0,1.0,17575.94,1258,649,609,9.2
CLYDE-SAVANNAH CSD,78.0,17.0,21555.55,754,385,369,15.1
CLYMER CSD,93.0,0.0,21086.05,414,221,193,9.4
COBLESKILL-RICHMONDVILLE CSD,93.0,3.0,20054.26,1639,878,761,10.0
COHOES CITY SD,84.0,11.0,17770.18,1873,943,930,28.9
COLD SPRING HARBOR CSD,99.0,0.0,33287.48,1635,838,797,13.9
COLTON-PIERREPONT CSD,94.0,0.0,22481.64,339,169,170,0.6
COMMACK UFSD,97.0,0.0,26170.47,5875,3018,2857,23.3
CONNETQUOT CSD,95.0,2.0,28395.35,5509,2786,2723,26.7
COOPERSTOWN CSD,99.0,1.0,19740.77,818,413,405,8.8
COPENHAGEN CSD,100.0,0.0,18762.25,393,212,181,7.6
COPIAGUE UFSD,89.0,7.0,18858.63,4965,2443,2522,87.7
CORINTH CSD,86.0,6.0,15265.53,1139,586,553,4.8
CORNING CITY SD,88.0,6.0,19702.53,4551,2359,2192,13.5
CORNWALL CSD,96.0,3.0,18883.36,3102,1632,1470,35.5
CORTLAND CITY SD,80.0,7.0,18587.04,2132,1092,1040,15.1
COXSACKIE-ATHENS CSD,82.0,7.0,20955.92,1242,679,563,15.5
CROTON-HARMON UFSD,96.0,0.0,23468.52,1584,820,764,28.7
CROWN POINT CSD,95.0,5.0,20638.87,286,135,151,0.7
CUBA-RUSHFORD CSD,92.0,0.0,19895.03,780,433,347,5.0
