DistrictName,ZipCode
FISHERS ISLAND UFSD,6390
YONKERS CITY SD,10470
SOMERS CSD,10501
ARDSLEY UFSD,10502
IRVINGTON UFSD,10503
BYRAM HILLS CSD,10504
CHAPPAQUA CSD,10504
MOUNT PLEASANT CSD,10504
SOMERS CSD,10505
BYRAM HILLS CSD,10506
KATONAH-LEWISBORO UFSD,10506
BEDFORD CSD,10506
KATONAH-LEWISBORO UFSD,10507
BEDFORD CSD,10507
BREWSTER CSD,10509
CARMEL CSD,10509
NORTH SALEM CSD,10509
BRIARCLIFF MANOR UFSD,10510
CHAPPAQUA CSD,10510
OSSINING UFSD,10510
POCANTICO HILLS CSD,10510
UFSD OF THE TARRYTOWNS,10510
HENDRICK HUDSON CSD,10511
BREWSTER CSD,10512
CARMEL CSD,10512
MAHOPAC CSD,10512
NORTH SALEM CSD,10512
BYRAM HILLS CSD,10514
CHAPPAQUA CSD,10514
PLEASANTVILLE UFSD,10514
YORKTOWN CSD,10514
HALDANE CSD,10516
WAPPINGERS CSD,10516
LAKELAND CSD,10517
KATONAH-LEWISBORO UFSD,10518
NORTH SALEM CSD,10519
CROTON-HARMON UFSD,10520
HENDRICK HUDSON CSD,10520
OSSINING UFSD,10520
YORKTOWN CSD,10520
ARDSLEY UFSD,10522
DOBBS FERRY UFSD,10522
HASTINGS-ON-HUDSON UFSD,10522
ELMSFORD UFSD,10523
GREENBURGH CSD,10523
POCANTICO HILLS CSD,10523
VALHALLA UFSD,10523
GARRISON UFSD,10524
HALDANE CSD,10524
LAKELAND CSD,10524
KATONAH-LEWISBORO UFSD,10526
SOMERS CSD,10527
HARRISON CSD,10528
RYE CITY SD,10528
RYE NECK UFSD,10528
ARDSLEY UFSD,10530
EDGEMONT UFSD,10530
GREENBURGH CSD,10530
SCARSDALE UFSD,10530
MOUNT PLEASANT CSD,10532
POCANTICO HILLS CSD,10532
VALHALLA UFSD,10532
ARDSLEY UFSD,10533
DOBBS FERRY UFSD,10533
ELMSFORD UFSD,10533
IRVINGTON UFSD,10533
LAKELAND CSD,10535
KATONAH-LEWISBORO UFSD,10536
BEDFORD CSD,10536
SOMERS CSD,10536
LAKELAND CSD,10537
PUTNAM VALLEY CSD,10537
MAMARONECK UFSD,10538
NEW ROCHELLE CITY SD,10538
SCARSDALE UFSD,10538
SOMERS CSD,10540
CARMEL CSD,10541
LAKELAND CSD,10541
MAHOPAC CSD,10541
SOMERS CSD,10541
MAHOPAC CSD,10542
MAMARONECK UFSD,10543
RYE NECK UFSD,10543
SCARSDALE UFSD,10543
OSSINING UFSD,10545
CHAPPAQUA CSD,10546
LAKELAND CSD,10547
YORKTOWN CSD,10547
HENDRICK HUDSON CSD,10548
BYRAM HILLS CSD,10549
CHAPPAQUA CSD,10549
KATONAH-LEWISBORO UFSD,10549
BEDFORD CSD,10549
YORKTOWN CSD,10549
MOUNT VERNON SCHOOL DISTRICT,10550
MOUNT VERNON SCHOOL DISTRICT,10552
PELHAM UFSD,10552
MOUNT VERNON SCHOOL DISTRICT,10553
PELHAM UFSD,10553
KATONAH-LEWISBORO UFSD,10560
NORTH SALEM CSD,10560
CROTON-HARMON UFSD,10562
OSSINING UFSD,10562
YORKTOWN CSD,10562
PEEKSKILL CITY SD,10566
CROTON-HARMON UFSD,10567
HENDRICK HUDSON CSD,10567
LAKELAND CSD,10567
PEEKSKILL CITY SD,10567
PUTNAM VALLEY CSD,10567
YORKTOWN CSD,10567
BRIARCLIFF MANOR UFSD,10570
BYRAM HILLS CSD,10570
CHAPPAQUA CSD,10570
MOUNT PLEASANT CSD,10570
PLEASANTVILLE UFSD,10570
POCANTICO HILLS CSD,10570
HARRISON CSD,10573
PORT CHESTER-RYE UFSD,10573
BLIND BROOK-RYE UFSD,10573
RYE CITY SD,10573
KATONAH-LEWISBORO UFSD,10576
BEDFORD CSD,10576
HARRISON CSD,10577
BLIND BROOK-RYE UFSD,10577
KATONAH-LEWISBORO UFSD,10578
NORTH SALEM CSD,10578
SOMERS CSD,10578
CARMEL CSD,10579
GARRISON UFSD,10579
HALDANE CSD,10579
LAKELAND CSD,10579
MAHOPAC CSD,10579
PUTNAM VALLEY CSD,10579
HARRISON CSD,10580
PORT CHESTER-RYE UFSD,10580
RYE CITY SD,10580
RYE NECK UFSD,10580
ARDSLEY UFSD,10583
EASTCHESTER UFSD,10583
EDGEMONT UFSD,10583
GREENBURGH CSD,10583
HASTINGS-ON-HUDSON UFSD,10583
MAMARONECK UFSD,10583
NEW ROCHELLE CITY SD,10583
SCARSDALE UFSD,10583
YONKERS CITY SD,10583
LAKELAND CSD,10588
NORTH SALEM CSD,10589
SOMERS CSD,10589
KATONAH-LEWISBORO UFSD,10590
ELMSFORD UFSD,10591
IRVINGTON UFSD,10591
POCANTICO HILLS CSD,10591
UFSD OF THE TARRYTOWNS,10591
BYRAM HILLS CSD,10594
MOUNT PLEASANT CSD,10594
BYRAM HILLS CSD,10595
MOUNT PLEASANT CSD,10595
POCANTICO HILLS CSD,10595
VALHALLA UFSD,10595
HENDRICK HUDSON CSD,10596
KATONAH-LEWISBORO UFSD,10597
LAKELAND CSD,10598
SOMERS CSD,10598
YORKTOWN CSD,10598
WHITE PLAINS CITY SD,10601
GREENBURGH CSD,10603
VALHALLA UFSD,10603
WHITE PLAINS CITY SD,10603
BYRAM HILLS CSD,10604
HARRISON CSD,10604
MOUNT PLEASANT CSD,10604
BLIND BROOK-RYE UFSD,10604
VALHALLA UFSD,10604
WHITE PLAINS CITY SD,10604
HARRISON CSD,10605
WHITE PLAINS CITY SD,10605
GREENBURGH CSD,10606
WHITE PLAINS CITY SD,10606
ARDSLEY UFSD,10607
ELMSFORD UFSD,10607
GREENBURGH CSD,10607
WHITE PLAINS CITY SD,10607
HASTINGS-ON-HUDSON UFSD,10701
YONKERS CITY SD,10701
YONKERS CITY SD,10703
YONKERS CITY SD,10704
YONKERS CITY SD,10705
ARDSLEY UFSD,10706
HASTINGS-ON-HUDSON UFSD,10706
EASTCHESTER UFSD,10707
TUCKAHOE UFSD,10707
YONKERS CITY SD,10707
BRONXVILLE UFSD,10708
MOUNT VERNON SCHOOL DISTRICT,10708
TUCKAHOE UFSD,10708
YONKERS CITY SD,10708
EASTCHESTER UFSD,10709
NEW ROCHELLE CITY SD,10709
TUCKAHOE UFSD,10709
TUCKAHOE UFSD,10710
YONKERS CITY SD,10710
MAMARONECK UFSD,10801
NEW ROCHELLE CITY SD,10801
MOUNT VERNON SCHOOL DISTRICT,10803
NEW ROCHELLE CITY SD,10803
PELHAM UFSD,10803
NEW ROCHELLE CITY SD,10804
NEW ROCHELLE CITY SD,10805
EAST RAMAPO CSD (SPRING VALLEY),10901
SUFFERN CSD,10901
MONROE-WOODBURY CSD,10910
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10911
PEARL RIVER UFSD,10913
SOUTH ORANGETOWN CSD,10913
WASHINGTONVILLE CSD,10914
PINE BUSH CSD,10915
GOSHEN CSD,10916
VALLEY CSD (MONTGOMERY),10916
WASHINGTONVILLE CSD,10916
HIGHLAND FALLS CSD,10917
MONROE-WOODBURY CSD,10917
CHESTER UFSD,10918
GOSHEN CSD,10918
MONROE-WOODBURY CSD,10918
WARWICK VALLEY CSD,10918
WASHINGTONVILLE CSD,10918
MIDDLETOWN CITY SD,10919
PINE BUSH CSD,10919
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10920
CLARKSTOWN CSD,10920
CHESTER UFSD,10921
GOSHEN CSD,10921
FLORIDA UFSD,10921
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10922
HIGHLAND FALLS CSD,10922
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10923
CHESTER UFSD,10924
GOSHEN CSD,10924
MIDDLETOWN CITY SD,10924
MINISINK VALLEY CSD,10924
FLORIDA UFSD,10924
WARWICK VALLEY CSD,10924
WASHINGTONVILLE CSD,10924
GREENWOOD LAKE UFSD,10925
TUXEDO UFSD,10925
WARWICK VALLEY CSD,10925
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10926
MONROE-WOODBURY CSD,10926
SUFFERN CSD,10926
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10927
HIGHLAND FALLS CSD,10928
CORNWALL CSD,10930
HIGHLAND FALLS CSD,10930
MONROE-WOODBURY CSD,10930
SUFFERN CSD,10931
MINISINK VALLEY CSD,10932
MINISINK VALLEY CSD,10933
GOSHEN CSD,10940
MIDDLETOWN CITY SD,10940
MINISINK VALLEY CSD,10940
PINE BUSH CSD,10940
GOSHEN CSD,10941
MIDDLETOWN CITY SD,10941
VALLEY CSD (MONTGOMERY),10941
PINE BUSH CSD,10941
KIRYAS JOEL VILLAGE UFSD,10950
GREENWOOD LAKE UFSD,10950
MONROE-WOODBURY CSD,10950
WARWICK VALLEY CSD,10950
WASHINGTONVILLE CSD,10950
EAST RAMAPO CSD (SPRING VALLEY),10952
SUFFERN CSD,10952
CORNWALL CSD,10953
NANUET UFSD,10954
CLARKSTOWN CSD,10954
PEARL RIVER UFSD,10954
EAST RAMAPO CSD (SPRING VALLEY),10954
CLARKSTOWN CSD,10956
EAST RAMAPO CSD (SPRING VALLEY),10956
GOSHEN CSD,10958
MIDDLETOWN CITY SD,10958
MINISINK VALLEY CSD,10958
FLORIDA UFSD,10958
CLARKSTOWN CSD,10960
NYACK UFSD,10960
SOUTH ORANGETOWN CSD,10960
PEARL RIVER UFSD,10962
SOUTH ORANGETOWN CSD,10962
MINISINK VALLEY CSD,10963
PORT JERVIS CITY SD,10963
SOUTH ORANGETOWN CSD,10964
NANUET UFSD,10965
PEARL RIVER UFSD,10965
EAST RAMAPO CSD (SPRING VALLEY),10965
SOUTH ORANGETOWN CSD,10968
WARWICK VALLEY CSD,10969
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10970
EAST RAMAPO CSD (SPRING VALLEY),10970
SUFFERN CSD,10970
GOSHEN CSD,10973
MINISINK VALLEY CSD,10973
SUFFERN CSD,10974
TUXEDO UFSD,10974
MONROE-WOODBURY CSD,10975
SOUTH ORANGETOWN CSD,10976
NANUET UFSD,10977
EAST RAMAPO CSD (SPRING VALLEY),10977
GREENWOOD LAKE UFSD,10979
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10980
SUFFERN CSD,10980
PEARL RIVER UFSD,10983
SOUTH ORANGETOWN CSD,10983
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10984
PINE BUSH CSD,10985
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10986
MONROE-WOODBURY CSD,10987
SUFFERN CSD,10987
TUXEDO UFSD,10987
MINISINK VALLEY CSD,10988
CLARKSTOWN CSD,10989
NYACK UFSD,10989
GREENWOOD LAKE UFSD,10990
FLORIDA UFSD,10990
WARWICK VALLEY CSD,10990
WASHINGTONVILLE CSD,10992
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),10993
NANUET UFSD,10994
