ZipCode,HouseholdIncome
6390,46250.0
10001,96787.0
10002,35607.0
10003,129981.0
10004,204949.0
10005,184681.0
10006,185268.0
10007,
10009,68220.0
10010,139188.0
10011,136208.0
10012,110490.0
10013,130675.0
10014,136154.0
10016,124647.0
10017,130417.0
10018,136360.0
10019,101651.0
10020,
10021,130968.0
10022,138661.0
10023,137347.0
10024,137126.0
10025,99067.0
10026,64716.0
10027,57010.0
10028,131013.0
10029,33801.0
10030,45555.0
10031,55721.0
10032,53690.0
10033,66902.0
10034,63556.0
10035,28408.0
10036,97720.0
10037,50686.0
10038,95640.0
10039,41363.0
10040,53199.0
10044,112658.0
10065,153002.0
10069,130556.0
10075,123854.0
10103,
10110,
10111,
10112,
10115,
10119,
10128,117926.0
10152,
10153,
10154,
10162,96555.0
10165,
10167,
10168,
10169,
10170,
10171,
10172,
10173,
10174,
10177,
10199,
10271,
10278,
10279,
10280,170385.0
10282,
10301,70065.0
10302,72394.0
10303,70315.0
10304,64394.0
10305,77136.0
10306,83309.0
10307,108808.0
10308,110478.0
10309,102730.0
10310,86895.0
10311,
10312,96785.0
10314,90306.0
10451,32598.0
10452,31351.0
10453,31778.0
10454,23337.0
10455,29439.0
10456,31645.0
10457,32378.0
10458,37886.0
10459,31896.0
10460,28831.0
10461,60802.0
10462,57266.0
10463,60397.0
10464,101935.0
10465,74889.0
10466,58405.0
10467,40639.0
10468,37777.0
10469,67190.0
10470,64643.0
10471,93657.0
10472,36038.0
10473,47856.0
10474,28419.0
10475,53819.0
10501,
10502,199904.0
10503,
10504,214414.0
10505,112143.0
10506,186000.0
10507,79471.0
10509,108372.0
10510,177143.0
10511,111313.0
10512,94985.0
10514,
10516,113494.0
10517,97375.0
10518,139112.0
10519,158565.0
10520,113175.0
10522,145000.0
10523,103903.0
10524,121691.0
10526,193482.0
10527,196458.0
10528,125922.0
10530,99092.0
10532,116750.0
10533,163859.0
10535,142050.0
10536,183793.0
10537,99757.0
10538,193085.0
10541,113833.0
10543,109907.0
10545,
10546,204583.0
10547,123438.0
10548,88784.0
10549,106961.0
10550,43234.0
10552,78399.0
10553,76704.0
10560,147632.0
10562,91901.0
10566,66067.0
10567,130442.0
10570,156774.0
10573,91935.0
10576,199559.0
10577,188685.0
10578,
10579,122868.0
10580,202588.0
10583,205564.0
10588,113500.0
10589,104464.0
10590,139735.0
10591,98349.0
10594,169740.0
10595,104112.0
10596,81711.0
10597,242500.0
10598,129370.0
10601,86250.0
10603,111781.0
10604,95859.0
10605,119132.0
10606,81603.0
10607,145667.0
10701,52657.0
10703,78457.0
10704,87397.0
10705,58683.0
10706,148375.0
10707,113167.0
10708,108142.0
10709,135674.0
10710,85088.0
10801,68090.0
10803,168071.0
10804,191394.0
10805,72856.0
10901,100781.0
10910,
10911,
10913,171464.0
10914,
10915,
10916,100556.0
10917,119018.0
10918,111163.0
10919,79642.0
10920,123848.0
10921,95707.0
10922,81375.0
10923,91087.0
10924,97111.0
10925,93659.0
10926,82019.0
10927,66214.0
10928,74012.0
10930,121310.0
10931,72574.0
10932,
10933,102955.0
10940,67920.0
10941,79321.0
10950,75547.0
10952,56597.0
10953,
10954,102763.0
10956,148341.0
10958,108831.0
10960,104972.0
10962,125288.0
10963,72534.0
10964,138542.0
10965,114595.0
10968,125833.0
10969,122109.0
10970,92708.0
10973,93641.0
10974,88135.0
10975,
10976,62417.0
10977,59253.0
10979,
10980,110347.0
10983,132400.0
10984,138188.0
10985,181116.0
10986,180875.0
10987,130167.0
10988,90179.0
10989,115000.0
10990,109684.0
10992,97862.0
10993,48400.0
10994,154970.0
10996,115587.0
10998,89871.0
11001,124949.0
11003,103548.0
11004,97845.0
11005,75742.0
11010,113148.0
11020,160909.0
11021,106978.0
11023,108906.0
11024,124837.0
11030,210380.0
11040,132767.0
11042,
11050,134473.0
11096,59943.0
11101,89525.0
11102,81462.0
11103,81677.0
11104,75772.0
11105,86516.0
11106,71865.0
11109,169425.0
11201,139697.0
11203,57707.0
11204,54984.0
11205,62952.0
11206,43065.0
11207,42276.0
11208,45946.0
11209,79524.0
11210,70776.0
11211,90871.0
11212,29385.0
11213,48318.0
11214,57639.0
11215,144330.0
11216,77343.0
11217,122598.0
11218,78249.0
11219,41907.0
11220,55119.0
11221,65548.0
11222,96435.0
11223,56908.0
11224,35776.0
11225,65200.0
11226,60896.0
11228,76278.0
11229,66332.0
11230,57770.0
11231,108525.0
11232,74072.0
11233,48278.0
11234,84116.0
11235,56308.0
11236,74015.0
11237,57375.0
11238,100568.0
11239,29571.0
11351,
11354,45838.0
11355,45527.0
11356,64324.0
11357,82858.0
11358,70777.0
11359,
11360,84356.0
11361,86545.0
11362,92212.0
11363,111094.0
11364,87135.0
11365,70102.0
11366,91795.0
11367,64332.0
11368,56904.0
11369,61860.0
11370,67582.0
11371,
11372,61239.0
11373,56835.0
11374,75266.0
11375,88117.0
