DistrictName,MedianIncome
ADDISON CENTRAL SCHOOL DISTRICT,59328.0
ADIRONDACK CENTRAL SCHOOL DISTRICT,63986.357142857145
AFTON CENTRAL SCHOOL DISTRICT,54818.28571428572
AKRON CENTRAL SCHOOL DISTRICT,76903.75
ALBANY CITY SCHOOL DISTRICT,61049.181818181816
ALBION CENTRAL SCHOOL DISTRICT,60784.28571428572
ALDEN CENTRAL SCHOOL DISTRICT,80543.77777777778
ALEXANDER CENTRAL SCHOOL DISTRICT,67828.57142857143
ALEXANDRIA CENTRAL SCHOOL DISTRICT,55344.5
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,51929.28571428572
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,49249.8
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,62701.6
AMAGANSETT UNION FREE SCHOOL DISTRICT,114088.66666666667
AMHERST CENTRAL SCHOOL DISTRICT,69733.66666666667
AMITYVILLE UNION FREE SCHOOL DISTRICT,109412.0
AMSTERDAM CITY SCHOOL DISTRICT,65237.57142857143
ANDES CENTRAL SCHOOL DISTRICT,56633.857142857145
ANDOVER CENTRAL SCHOOL DISTRICT,49658.6
ARDSLEY UNION FREE SCHOOL DISTRICT,158208.7142857143
ARGYLE CENTRAL SCHOOL DISTRICT,62666.25
ARKPORT CENTRAL SCHOOL DISTRICT,57429.4
ARLINGTON CENTRAL SCHOOL DISTRICT,90955.71428571429
ATTICA CENTRAL SCHOOL DISTRICT,66734.22222222222
AUBURN CITY SCHOOL DISTRICT,51517.0
AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,72556.14285714286
AVERILL PARK CENTRAL SCHOOL DISTRICT,84931.25
AVOCA CENTRAL SCHOOL DISTRICT,49992.166666666664
AVON CENTRAL SCHOOL DISTRICT,75221.8
BABYLON UNION FREE SCHOOL DISTRICT,112620.0
BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,51899.857142857145
BALDWIN UNION FREE SCHOOL DISTRICT,98237.4
BALDWINSVILLE CENTRAL SCHOOL DISTRICT,70991.0
BALLSTON SPA CENTRAL SCHOOL DISTRICT,86613.83333333333
BARKER CENTRAL SCHOOL DISTRICT,62311.71428571428
BATAVIA CITY SCHOOL DISTRICT,60567.0
BATH CENTRAL SCHOOL DISTRICT,52368.57142857143
BAY SHORE UNION FREE SCHOOL DISTRICT,116545.0
BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,110745.75
BEACON CITY SCHOOL DISTRICT,84118.33333333333
BEAVER RIVER CENTRAL SCHOOL DISTRICT,52416.5
BEDFORD CENTRAL SCHOOL DISTRICT,151156.8
BEEKMANTOWN CENTRAL SCHOOL DISTRICT,60106.666666666664
BELFAST CENTRAL SCHOOL DISTRICT,51402.28571428572
BELLEVILLE HENDERSON CENTRAL SCHOOL DISTRICT,67427.2
BELLMORE UNION FREE SCHOOL DISTRICT,146297.33333333334
BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,116539.83333333333
BEMUS POINT CENTRAL SCHOOL DISTRICT,54523.0
BERLIN CENTRAL SCHOOL DISTRICT,79717.375
BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,77819.2
BETHLEHEM CENTRAL SCHOOL DISTRICT,89023.66666666667
BETHPAGE UNION FREE SCHOOL DISTRICT,130513.4
BINGHAMTON CITY SCHOOL DISTRICT,48095.0
BINGHAMTON COMMON SCHOOL DISTRICT,57594.0
BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,125493.0
BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,52773.833333333336
BOLTON CENTRAL SCHOOL DISTRICT,82051.0
BOQUET VALLEY CENTRAL SCHOOL DISTRICT AT ELIZABETHTOWN-LEWIS-WESTPORT,54469.142857142855
BRADFORD CENTRAL SCHOOL DISTRICT,57434.0
BRASHER FALLS CENTRAL SCHOOL DISTRICT,52303.6
BRENTWOOD UNION FREE SCHOOL DISTRICT,98721.0
BREWSTER CENTRAL SCHOOL DISTRICT,103172.66666666667
BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,166958.5
BRIDGEHAMPTON UNION FREE SCHOOL DISTRICT,115114.0
BRIGHTON CENTRAL SCHOOL DISTRICT,79012.8
BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,59113.75
BROCKPORT CENTRAL SCHOOL DISTRICT,68815.57142857143
BROCTON CENTRAL SCHOOL DISTRICT,54416.166666666664
BRONXVILLE UNION FREE SCHOOL DISTRICT,108142.0
BROOKFIELD CENTRAL SCHOOL DISTRICT,57008.166666666664
BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,118550.6
BRUNSWICK CENTRAL SCHOOL DISTRICT (BRITTONKILL),80701.55555555556
BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT,52123.42857142857
BUFFALO CITY SCHOOL DISTRICT,43318.85
BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,89112.28571428571
BYRAM HILLS CENTRAL SCHOOL DISTRICT,147694.2857142857
BYRON-BERGEN CENTRAL SCHOOL DISTRICT,66222.75
CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,63166.26666666667
CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,66146.16666666667
CAMBRIDGE CENTRAL SCHOOL DISTRICT,75838.28571428571
CAMDEN CENTRAL SCHOOL DISTRICT,61254.09090909091
CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,56361.833333333336
CANAJOHARIE CENTRAL SCHOOL DISTRICT,59828.0
CANANDAIGUA CITY SCHOOL DISTRICT,72225.6
CANASERAGA CENTRAL SCHOOL DISTRICT,56816.0
CANASTOTA CENTRAL SCHOOL DISTRICT,72601.0
CANDOR CENTRAL SCHOOL DISTRICT,60132.5
CANISTEO-GREENWOOD CENTRAL SCHOOL DISTRICT,50768.0
CANTON CENTRAL SCHOOL DISTRICT,54204.0
CARLE PLACE UNION FREE SCHOOL DISTRICT,104753.33333333333
CARMEL CENTRAL SCHOOL DISTRICT,110606.5
CARTHAGE CENTRAL SCHOOL DISTRICT,53290.63636363636
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,55387.625
CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,64765.75
CATSKILL CENTRAL SCHOOL DISTRICT,58658.833333333336
CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,52411.0
CAZENOVIA CENTRAL SCHOOL DISTRICT,69543.875
CENTER MORICHES UNION FREE SCHOOL DISTRICT,99102.0
CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,101402.4
CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,67685.72727272728
CENTRAL VALLEY CENTRAL SCHOOL DISTRICT,57561.8
CHAPPAQUA CENTRAL SCHOOL DISTRICT,171975.0
CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,53881.75
CHATEAUGAY CENTRAL SCHOOL DISTRICT,56603.8
CHATHAM CENTRAL SCHOOL DISTRICT,80405.75
CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,57115.57142857143
CHAZY UNION FREE SCHOOL DISTRICT,63384.5
CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,47551.0
CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,58342.0
CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,47314.75
