ZipCode,School District Name
10001,New York City Department Of Education
10002,New York City Department Of Education
10003,New York City Department Of Education
10004,New York City Department Of Education
10005,New York City Department Of Education
10006,New York City Department Of Education
10007,New York City Department Of Education
10009,New York City Department Of Education
10010,New York City Department Of Education
10011,New York City Department Of Education
10012,New York City Department Of Education
10013,New York City Department Of Education
10014,New York City Department Of Education
10016,New York City Department Of Education
10017,New York City Department Of Education
10018,New York City Department Of Education
10019,New York City Department Of Education
10020,New York City Department Of Education
10021,New York City Department Of Education
10022,New York City Department Of Education
10023,New York City Department Of Education
10024,New York City Department Of Education
10025,New York City Department Of Education
10026,New York City Department Of Education
10027,New York City Department Of Education
10028,New York City Department Of Education
10029,New York City Department Of Education
10030,New York City Department Of Education
10031,New York City Department Of Education
10032,New York City Department Of Education
10033,New York City Department Of Education
10034,New York City Department Of Education
10035,New York City Department Of Education
10036,New York City Department Of Education
10037,New York City Department Of Education
10038,New York City Department Of Education
10039,New York City Department Of Education
10040,New York City Department Of Education
10044,New York City Department Of Education
10065,New York City Department Of Education
10069,New York City Department Of Education
10075,New York City Department Of Education
10103,New York City Department Of Education
10110,New York City Department Of Education
10111,New York City Department Of Education
10112,New York City Department Of Education
10115,New York City Department Of Education
10119,New York City Department Of Education
10128,New York City Department Of Education
10152,New York City Department Of Education
10153,New York City Department Of Education
10154,New York City Department Of Education
10162,New York City Department Of Education
10165,New York City Department Of Education
10167,New York City Department Of Education
10168,New York City Department Of Education
10169,New York City Department Of Education
10170,New York City Department Of Education
10171,New York City Department Of Education
10172,New York City Department Of Education
10173,New York City Department Of Education
10174,New York City Department Of Education
10177,New York City Department Of Education
10199,New York City Department Of Education
10271,New York City Department Of Education
10278,New York City Department Of Education
10279,New York City Department Of Education
10280,New York City Department Of Education
10282,New York City Department Of Education
10301,New York City Department Of Education
10302,New York City Department Of Education
10303,New York City Department Of Education
10304,New York City Department Of Education
10305,New York City Department Of Education
10306,New York City Department Of Education
10307,New York City Department Of Education
10308,New York City Department Of Education
10309,New York City Department Of Education
10310,New York City Department Of Education
10311,New York City Department Of Education
10312,New York City Department Of Education
10314,New York City Department Of Education
10451,New York City Department Of Education
10452,New York City Department Of Education
10453,New York City Department Of Education
10454,New York City Department Of Education
10455,New York City Department Of Education
10456,New York City Department Of Education
10457,New York City Department Of Education
10458,New York City Department Of Education
10459,New York City Department Of Education
10460,New York City Department Of Education
10461,New York City Department Of Education
10462,New York City Department Of Education
10463,New York City Department Of Education
10464,New York City Department Of Education
10465,New York City Department Of Education
10466,New York City Department Of Education
10467,New York City Department Of Education
10468,New York City Department Of Education
10469,New York City Department Of Education
10470,New York City Department Of Education
10470,Yonkers City School District
10471,New York City Department Of Education
10472,New York City Department Of Education
10473,New York City Department Of Education
10474,New York City Department Of Education
10475,New York City Department Of Education
10501,Somers Central School District
10502,Ardsley Union Free School District
10503,Irvington Union Free School District
10504,Byram Hills Central School District
10504,Chappaqua Central School District
10504,Mount Pleasant Central School District
10505,Somers Central School District
10506,Byram Hills Central School District
10506,Katonah-Lewisboro Union Free School District
10506,Bedford Central School District
10507,Katonah-Lewisboro Union Free School District
10507,Bedford Central School District
10509,Brewster Central School District
10509,Carmel Central School District
10509,North Salem Central School District
10510,Briarcliff Manor Union Free School District
10510,Chappaqua Central School District
10510,Ossining Union Free School District
10510,Pocantico Hills Central School District
10510,Union Free School District of the Tarrytowns
10511,Hendrick Hudson Central School District
10512,Brewster Central School District
10512,Carmel Central School District
10512,Mahopac Central School District
10512,North Salem Central School District
10514,Byram Hills Central School District
10514,Chappaqua Central School District
10514,Pleasantville Union Free School District
10514,Yorktown Central School District
10516,Haldane Central School District
10516,Wappingers Central School District
10517,Lakeland Central School District
10518,Katonah-Lewisboro Union Free School District
10519,North Salem Central School District
10520,Croton-Harmon Union Free School District
10520,Hendrick Hudson Central School District
10520,Ossining Union Free School District
10520,Yorktown Central School District
10522,Ardsley Union Free School District
10522,Dobbs Ferry Union Free School District
10522,Hastings-on-Hudson Union Free School District
10523,Elmsford Union Free School District
10523,Greenburgh Central School District
10523,Pocantico Hills Central School District
10523,Valhalla Union Free School District
10524,Garrison Union Free School District
10524,Haldane Central School District
10524,Lakeland Central School District
10526,Katonah-Lewisboro Union Free School District
10527,Somers Central School District
10528,Harrison Central School District
10528,Rye City School District
10528,Rye Neck Union Free School District
10530,Ardsley Union Free School District
10530,Edgemont Union Free School District
10530,Greenburgh Central School District
10530,Scarsdale Union Free School District
10532,Mount Pleasant Central School District
10532,Pocantico Hills Central School District
10532,Valhalla Union Free School District
10533,Ardsley Union Free School District
10533,Dobbs Ferry Union Free School District
10533,Elmsford Union Free School District
10533,Irvington Union Free School District
10535,Lakeland Central School District
10536,Katonah-Lewisboro Union Free School District
10536,Bedford Central School District
10536,Somers Central School District
10537,Lakeland Central School District
10537,Putnam Valley Central School District
10538,Mamaroneck Union Free School District
10538,New Rochelle City School District
10538,Scarsdale Union Free School District
10540,Somers Central School District
10541,Carmel Central School District
10541,Lakeland Central School District
10541,Mahopac Central School District
10541,Somers Central School District
10542,Mahopac Central School District
10543,Mamaroneck Union Free School District
10543,Rye Neck Union Free School District
10543,Scarsdale Union Free School District
10545,Ossining Union Free School District
10546,Chappaqua Central School District
10547,Lakeland Central School District
10547,Yorktown Central School District
10548,Hendrick Hudson Central School District
10549,Byram Hills Central School District
10549,Chappaqua Central School District
10549,Katonah-Lewisboro Union Free School District
10549,Bedford Central School District
10549,Yorktown Central School District
10550,Mount Vernon School District
10550,New York City Department Of Education
10552,Mount Vernon School District
10552,Pelham Union Free School District
10553,Mount Vernon School District
10553,Pelham Union Free School District
10560,Katonah-Lewisboro Union Free School District
10560,North Salem Central School District
10562,Croton-Harmon Union Free School District
10562,Ossining Union Free School District
10562,Yorktown Central School District
10566,Peekskill City School District
