SchoolDistrictName,HouseholdIncome
Addison Central School District,71205
Adirondack Central School District,73795
Afton Central School District,64191
Akron Central School District,93480
Albany City School District,80885
Albion Central School District,71995
Alden Central School District,100168
Alexander Central School District,82440
Alexandria Central School District,85994
Alfred-Almond Central School District,62630
Allegany-Limestone Central School District,63165
Altmar-Parish-Williamstown Central School District,72289
Amagansett Union Free School District,171943
Amherst Central School District,93021
Amityville Union Free School District,129828
Amsterdam City School District,82396
Andes Central School District,77281
Andover Central School District,63877
Ardsley Union Free School District,214771
Argyle Central School District,77744
Arkport Central School District,65849
Arlington Central School District,115545
Attica Central School District,81399
Auburn City School District,71023
AuSable Valley Central School District,82371
Averill Park Central School District,95636
Avoca Central School District,63872
Avon Central School District,92887
Babylon Union Free School District,130881
Bainbridge-Guilford Central School District,63183
Baldwin Union Free School District,123814
Baldwinsville Central School District,83202
Ballston Spa Central School District,108290
Barker Central School District,74910
Batavia City School District,71295
Bath Central School District,61424
Bay Shore Union Free School District,143388
Bayport-Blue Point Union Free School District,134718
Beacon City School District,103605
Beaver River Central School District,63288
Bedford Central School District,244766
Beekmantown Central School District,80201
Belfast Central School District,61583
Belleville Henderson Central School District,80254
Bellmore Union Free School District,166967
Bellmore-Merrick Central High School District,137935
Bemus Point Central School District,67361
Berlin Central School District,82555
Berne-Knox-Westerlo Central School District,98394
Bethlehem Central School District,118427
Bethpage Union Free School District,154212
Binghamton City School District,66436
Binghamton Common School District,85067
Blind Brook-Rye Union Free School District,208597
Bolivar-Richburg Central School District,70108
Bolton Central School District,108634
Boquet Valley Central School District at Elizabethtown-Lewis-Westport,68413
Bradford Central School District,73430
Brasher Falls Central School District,67499
Brentwood Union Free School District,118463
Brewster Central School District,121700
Briarcliff Manor Union Free School District,235355
Bridgehampton Union Free School District,205039
Brighton Central School District,111816
Broadalbin-Perth Central School District,76546
Brockport Central School District,83612
Brocton Central School District,63979
Bronxville Union Free School District,190835
Brookfield Central School District,82236
Brookhaven-Comsewogue Union Free School District,149247
Brunswick Central School District (Brittonkill),92178
Brushton-Moira Central School District,65815
Buffalo City School District,59922
Burnt Hills-Ballston Lake Central School District,108885
Byram Hills Central School District,230758
Byron-Bergen Central School District,77791
Cairo-Durham Central School District,75629
Caledonia-Mumford Central School District,76258
Cambridge Central School District,87429
Camden Central School District,70061
Campbell-Savona Central School District,69993
Canajoharie Central School District,75118
Canandaigua City School District,93586
Canaseraga Central School District,71772
Canastota Central School District,88129
Candor Central School District,74092
Canisteo-Greenwood Central School District,65178
Canton Central School District,70571
Carle Place Union Free School District,128511
Carmel Central School District,134220
Carthage Central School District,63074
Cassadaga Valley Central School District,64925
Cato-Meridian Central School District,76503
Catskill Central School District,77212
Cattaraugus-Little Valley Central School District,64297
Cazenovia Central School District,87726
Center Moriches Union Free School District,109894
Central Islip Union Free School District,119109
Central Square Central School District,77455
Central Valley Central School District,68979
Chappaqua Central School District,261233
Charlotte Valley Central School District,69507
Chateaugay Central School District,69316
Chatham Central School District,112484
Chautauqua Lake Central School District,68321
Chazy Union Free School District,80381
Cheektowaga Central School District,60197
Cheektowaga-Maryvale Union Free School District,70070
Cheektowaga-Sloan Union Free School District,60559
Chenango Forks Central School District,68460
Chenango Valley Central School District,64400
Cherry Valley-Springfield Central School District,70403
Chester Union Free School District,120958
Chittenango Central School District,98090
Churchville-Chili Central School District,88620
Cincinnatus Central School District,68478
Clarence Central School District,114562
Clarkstown Central School District,152153
Cleveland Hill Union Free School District,71973
Clifton-Fine Central School District,58631
Clinton Central School District,90838
Clyde-Savannah Central School District,65289
Clymer Central School District,70700
Cobleskill-Richmondville Central School District,70931
Cohoes City School District,80519
Cold Spring Harbor Central School District,227514
Colton-Pierrepont Central School District,68221
Commack Union Free School District,150579
Connetquot Central School District,125716
Cooperstown Central School District,86784
Copenhagen Central School District,73689
Copiague Union Free School District,116162
Corinth Central School District,96817
Corning City School District,78698
Cornwall Central School District,126145
Cortland City School District,75724
Coxsackie-Athens Central School District,80744
Croton-Harmon Union Free School District,148421
Crown Point Central School District,67854
Cuba-Rushford Central School District,64611
Dalton-Nunda Central School District (Keshequa),63532
Dansville Central School District,75776
Deer Park Union Free School District,123793
Delhi Central School District,69878
Depew Union Free School District,81730
Deposit Central School District,60670
DeRuyter Central School District,66008
Dobbs Ferry Union Free School District,217329
Dolgeville Central School District,66289
Dover Union Free School District,107994
Downsville Central School District,71990
Dryden Central School District,73950
Duanesburg Central School District,96977
Dundee Central School District,75443
